	TAG	ID	KEGGID	EC	BIGG	KEGG	GENES	PATHWAY	FLUX
RC00261_I	r	RC00261_I	R00261	4.1.1.15	[c] : glu-L_I + h_I --> 4abut_I + co2_I	C00025_I + C00080_I --> C00334_I + C00011_I	unc-25_I	Alanine, aspartate and glutamate metabolism	-0.0
RC00267_I	r	RC00267_I	R00267	1.1.1.42	[c] : icit_I + nadp_I --> akg_I + co2_I + nadph_I	C00311_I + C00006_I --> C00026_I + C00011_I + C00005_I	idh-1_I	Citrate cycle (TCA cycle)	0.0
RC00274_I	r	RC00274_I	R00274	1.11.1.9	[c] : (2) gthrd_I + h2o2_I <==> gthox_I + (2) h2o_I	(2) C00051_I + C00027_I <==> C00127_I + (2) C00001_I	gpx-1_I | gpx-2_I | gpx-3_I | gpx-4_I | gpx-5_I | gpx-7_I | gpx-8_I	Glutathione metabolism	0.0
RC00275_I	r	RC00275_I	R00275	1.15.1.1	[c] : (2) h_I + (2) o2s_I --> h2o2_I + o2_I	(2) C00080_I + (2) C00704_I --> C00027_I + C00007_I	sod-1_I | sod-4_I | sod-5_I	Reactive oxygen species degradation	-0.0
RC00277_I	r	RC00277_I	R00277	1.4.3.5	[c] : h2o_I + o2_I + pyam5p_I --> h2o2_I + nh4_I + pydx5p_I	C00001_I + C00007_I + C00647_I --> C00027_I + C00014_I + C00018_I	F57B9.1_I	Vitamin B6 metabolism	-0.0
RC00278_I	r	RC00278_I	R00278	1.4.3.5	[c] : o2_I + pdx5p_I --> h2o2_I + pydx5p_I	C00007_I + C00627_I --> C00027_I + C00018_I	F57B9.1_I	Vitamin B6 metabolism	0.0
RC00286_I	r	RC00286_I	R00286	1.1.1.22	[c] : h2o_I + (2) nad_I + udpg_I --> (3) h_I + (2) nadh_I + udpglcur_I	C00001_I + (2) C00003_I + C00029_I --> (3) C00080_I + (2) C00004_I + C00167_I	sqv-4_I	Pentose and glucuronate interconversions	-0.0
RC00287_I	r	RC00287_I	R00287	3.6.1.9	[c] : h2o_I + udpg_I --> g1p_I + (2) h_I + ump_I	C00001_I + C00029_I --> C00103_I + (2) C00080_I + C00105_I	C27A7.1_I | C27A7.3_I	Pyrimidine metabolism	-0.0
RC00289_I	r	RC00289_I	R00289	2.7.7.9	[c] : g1p_I + h_I + utp_I <==> ppi_I + udpg_I	C00103_I + C00080_I + C00075_I <==> C00013_I + C00029_I	D1005.2_I | K08E3.5_I	Pentose and glucuronate interconversions	0.0
RC00291_I	r	RC00291_I	R00291	5.1.3.2	[c] : udpg_I <==> udpgal_I	C00029_I <==> C00052_I	gale-1_I	Galactose metabolism	0.0
RC00293_I	r	RC00293_I	R00293	4.2.1.76	udpg_I --> udp4k6dg_I + h2o_I	C00029_I --> C04089_I + C00001_I	C01F1.3_I	Amino sugar and nucleotide sugar metabolism	-0.0
RC00306_I	r	RC00306_I	R00306	3.2.1.21	clb_I + h2o_I --> (2) glc-D_I	C00185_I + C00001_I --> (2) C00031_I	klo-1_I | klo-2_I	Starch and sucrose metabolism	0.0
RC00328_I	r	RC00328_I	R00328	3.6.1.6	[c] : gdp_I + h2o_I --> gmp_I + h_I + pi_I	C00035_I + C00001_I --> C00144_I + C00080_I + C00009_I	(ZK563.7_I | apy-1_I) | mig-23_I | uda-1_I	Purine metabolism	-0.0
RC00330_I	r	RC00330_I	R00330	2.7.4.6	[c] : atp_I + gdp_I <==> adp_I + gtp_I	C00002_I + C00035_I <==> C00008_I + C00044_I	R05G6.5_I | Y48G8AL.15_I | ndk-1_I	Purine metabolism	-0.326288468634
RC00332_I	r	RC00332_I	R00332	2.7.4.8	[c] : atp_I + gmp_I <==> adp_I + gdp_I	C00002_I + C00144_I <==> C00008_I + C00035_I	guk-1_I	Purine metabolism	0.0
RC00335_I	r	RC00335_I	R00335	3.6.5.5	[c] : gtp_I + h2o_I --> gdp_I + h_I + pi_I	C00044_I + C00001_I --> C00035_I + C00080_I + C00009_I	drp-1_I | dyn-1_I	Purine metabolism	-0.0
RC00342_I	r	RC00342_I	R00342	1.1.1.37	[c] : mal-L_I + nad_I <==> oaa_I + nadh_I + h_I	C00149_I + C00003_I <==> C00036_I + C00004_I + C00080_I	mdh-1_I	Citrate cycle (TCA cycle)	-0.326288468634
RC00352_I	r	RC00352_I	R00352	2.3.3.8	[c] : atp_I + cit_I + coa_I --> adp_I + pi_I + accoa_I + oaa_I	C00002_I + C00158_I + C00010_I --> C00008_I + C00009_I + C00024_I + C00036_I	acly-2_I | acly-1_I	Citrate cycle (TCA cycle)	-0.0
RC00355_I	r	RC00355_I	R00355	2.6.1.1	[c] : akg_I + asp-L_I <==> glu-L_I + oaa_I	C00026_I + C00049_I <==> C00025_I + C00036_I	got-1.2_I	Alanine, aspartate and glutamate metabolism	0.0
RC00359_I	r	RC00359_I	R00359	1.4.3.1	[x] : asp-D_I + h2o_I + o2_I --> h2o2_I + nh4_I + oaa_I	C00402_I + C00001_I + C00007_I --> C00027_I + C00014_I + C00036_I	(ddo-1_I | ddo-2_I | ddo-3_I)	Alanine, aspartate and glutamate metabolism	-0.0
RC00366_I	r	RC00366_I	R00366	1.4.3.3	[x] : gly_I + h2o_I + o2_I --> glx_I + h2o2_I + nh4_I	C00037_I + C00001_I + C00007_I --> C00048_I + C00027_I + C00014_I	daao-1_I	Glycine, serine and threonine metabolism	-0.0
RC00369_I	r	RC00369_I	R00369	2.6.1.44	[c] : ala-L_I + glx_I <==> gly_I + pyr_I	C00041_I + C00048_I <==> C00037_I + C00022_I	T09B4.8_I | agxt-1_I	Alanine, aspartate and glutamate metabolism	-0.3978195312
RC00383_I	r	RC00383_I	R00383	3.1.2.18	[c] : ppcoa_I + h2o_I --> ppa_I + coa_I + h_I	C00100_I + C00001_I --> C00163_I + C00010_I + C00080_I	Unknown	Propanoate metabolism	-0.0
RC00416_I	r	RC00416_I	R00416	2.7.7.23	[c] : acgam1p_I + h_I + utp_I <==> ppi_I + uacgam_I	C04501_I + C00080_I + C00075_I <==> C00013_I + C00043_I	C36A4.4_I	Amino sugar and nucleotide sugar metabolism	0.0
RC00417_I	r	RC00417_I	R00417	2.4.1.94	uacgam_I + pepasn_I <==> udp_I + pepasp_acgamam_I + h_I	C00043_I + CC0154_I <==> C00015_I + C04375_I + C00080_I	Unknown	Protein modification by hydroxylation	0.0
RC00424_I	r	RC00424_I	R00428;R04639;R05046;R05048	3.5.4.16	[c] : gtp_I + h2o_I --> ahdt_I + for_I + h_I	C00044_I + C00001_I --> C04895_I + C00058_I + C00080_I	cat-4_I	Folate biosynthesis	-0.0
RC00426_I	r	RC00426_I	R00426	3.6.1.19	[c] : gtp_I + h2o_I --> gmp_I + h_I + ppi_I	C00044_I + C00001_I --> C00144_I + C00080_I + C00013_I	hap-1_I	Purine metabolism	-0.0
RC00431_I	r	RC00431_I	R00431	4.1.1.32	[c] : gtp_I + oaa_I <==> gdp_I + pep_I + co2_I	C00044_I + C00036_I <==> C00035_I + C00074_I + C00011_I	pck-1_I | pck-2_I | pck-3_I	Glycolysis / Gluconeogenesis	-0.326288468634
RC00434_I	r	RC00434_I	R00434	4.6.1.1;4.6.1.2	[c] : gtp_I --> 35cgmp_I + ppi_I	C00044_I --> C00942_I + C00013_I	[(gcy-1_I | gcy-12_I | gcy-14_I | gcy-15_I | gcy-18_I | gcy-2_I | gcy-20_I | gcy-21_I | gcy-23_I | gcy-3_I | gcy-34_I | gcy-5_I | gcy-8_I) | (gcy-17_I | gcy-28_I) | (gcy-31_I | gcy-33_I | gcy-35_I | gcy-36_I | gcy-37_I)] | (acy-1_I | acy-4_I) | acy-2_I | (daf-11_I | gcy-19_I | gcy-22_I | gcy-25_I | gcy-29_I | gcy-32_I | gcy-4_I | gcy-9_I)	Purine metabolism	-0.0
RC00471_I	r	RC00471_I	R00471	4.1.3.16	[c] : 4h2oglt_I <==> glx_I + pyr_I	C05946_I <==> C00048_I + C00022_I	Unknown	Arginine and Proline metabolism	0.0
RC00475_I	r	RC00475_I	R00475	1.1.3.15	[c] : glyclt_I + o2_I --> glx_I + h2o2_I	C00160_I + C00007_I --> C00048_I + C00027_I	F41E6.5_I	Glyoxylate and dicarboxylate metabolism	0.0
RC00485_I	r	RC00485_I	R00485	3.5.1.1	[c] : asn-L_I + h2o_I --> asp-L_I + nh4_I	C00152_I + C00001_I --> C00049_I + C00014_I	C27A7.5_I	Alanine, aspartate and glutamate metabolism	-0.0
RC00489_I	r	RC00489_I	R00489	4.1.1.15	[c] : asp-L_I + h_I --> ala-B_I + co2_I	C00049_I + C00080_I --> C00099_I + C00011_I	unc-25_I	beta-Alanine metabolism	-0.0
RC00494_I	r	RC00494_I	R00494	3.4.19.13	[p] : gthrd_I + h2o_I <==> cgly_I + glu-L_I	C00051_I + C00001_I <==> C01419_I + C00025_I	C53D5.5_I | H14N18.4_I | T03D8.6_I | T19H12.6_I | Y7A9A.1_I | Y97E10AR.2_I	Glutathione metabolism	0.0
RC00497_I	r	RC00497_I	R00497	6.3.2.3	[c] : atp_I + glucys_I + gly_I --> adp_I + gthrd_I + h_I + pi_I	C00002_I + C00669_I + C00037_I --> C00008_I + C00051_I + C00080_I + C00009_I	gss-1_I	Glutathione metabolism	0.0
RC00507_I	r	RC00507_I	R00507	3.6.1.9	paps_I + h2o_I --> so4_I + pap_I + (2) h_I	C00053_I + C00001_I --> C00059_I + C00054_I + (2) C00080_I	C27A7.1_I | C27A7.3_I	Purine metabolism	-0.0
RC00508_I	r	RC00508_I	R00508	3.1.3.7	[c] : h2o_I + paps_I --> aps_I + pi_I	C00001_I + C00053_I --> C00224_I + C00009_I	bpnt-1_I | gpap-1_I	Sulfur metabolism	-0.0
RC00509_I	r	RC00509_I	R00509	2.7.1.25	[c] : aps_I + atp_I <==> adp_I + h_I + paps_I	C00224_I + C00002_I <==> C00008_I + C00080_I + C00053_I	pps-1_I	Purine metabolism	0.0
RC00511_I	r	RC00511_I	R00511	3.1.3.5	[c] : cmp_I + h2o_I --> cytd_I + pi_I	C00055_I + C00001_I --> C00475_I + C00009_I	F25B5.3_I | Y10G11A.1_I | Y71H10B.1_I	Pyrimidine metabolism	0.066392945451
RC00512_I	r	RC00512_I	R00512	2.7.4.14	[c] : atp_I + cmp_I <==> adp_I + cdp_I	C00002_I + C00055_I <==> C00008_I + C00112_I	C29F7.3_I | F40F8.1_I	Pyrimidine metabolism	-0.0830208340215
RC00513_I	r	RC00513_I	R00513	2.7.1.48	[c] : atp_I + cytd_I --> adp_I + cmp_I + h_I	C00002_I + C00475_I --> C00008_I + C00055_I + C00080_I	B0001.4_I | F19B6.1_I	Pyrimidine metabolism	-0.0
RC00525_I	r	RC00525_I	R00525	3.5.1.68	[c] : Nforglu_I + h2o_I --> for_I + glu-L_I + (2) h_I	C01045_I + C00001_I --> C00058_I + C00025_I + (2) C00080_I	Unknown	Histidine metabolism	0.0
RC00527_I	r	RC00527_I	R00527	3.1.2.12	[c] : Sfglutth_I + h2o_I <==> for_I + gthrd_I + h_I	C01031_I + C00001_I <==> C00058_I + C00051_I + C00080_I	Y48G10A.1_I	Methane metabolism	0.0
RC00529_I	r	RC00529_I	R00529	2.7.7.4	[c] : atp_I + h_I + so4_I <==> aps_I + ppi_I	C00002_I + C00080_I + C00059_I <==> C00224_I + C00013_I	pps-1_I	Purine metabolism	0.0
RC00548_I	r	RC00548_I	R00548	3.1.3.2	[c] : fmn_I + h2o_I --> pi_I + ribflv_I	C00061_I + C00001_I --> C00009_I + C00255_I	[(F26C11.1_I | ZK792.1_I | pho-10_I | pho-11_I) | (pho-14_I | pho-5_I | pho-8_I) | Y94H6A.7_I | F02E9.7_I] | (C27A2.12_I | acp-2_I | acp-3_I | acp-7_I | pho-1_I | pho-12_I | pho-4_I | pho-6_I | pho-7_I | pho-9_I)	Riboflavin metabolism	-0.0
RC00549_I	r	RC00549_I	R00549	2.7.1.26	[c] : atp_I + ribflv_I --> adp_I + fmn_I + h_I	C00002_I + C00255_I --> C00008_I + C00061_I + C00080_I	R10H10.6_I	Riboflavin metabolism	-0.0
RC00551_I	r	RC00551_I	R00551	3.5.3.1	[c] : arg-L_I + h2o_I --> orn_I + urea_I	C00062_I + C00001_I --> C00077_I + C00086_I	T21F4.1_I	Arginine and Proline metabolism	0.0156690357951
RC00554_I	r	RC00554_I	R00554	2.7.3.3	[c] : arg-L_I + atp_I <==> adp_I + h_I + argp_I	C00062_I + C00002_I <==> C00008_I + C00080_I + C05945_I	argk-1_I | W10C8.5_I | ZC434.8_I | F32B5.1_I	Arginine and proline metabolism	0.0
RC00570_I	r	RC00570_I	R00570	2.7.4.6	[c] : atp_I + cdp_I <==> adp_I + ctp_I	C00002_I + C00112_I <==> C00008_I + C00063_I	R05G6.5_I | Y48G8AL.15_I | ndk-1_I	Pyrimidine metabolism	-0.0830208340215
RC00571_I	r	RC00571_I	R00571	6.3.4.2	[c] : atp_I + nh4_I + utp_I --> adp_I + ctp_I + (2) h_I + pi_I	C00002_I + C00014_I + C00075_I --> C00008_I + C00063_I + (2) C00080_I + C00009_I	ctps-1_I	Pyrimidine metabolism	-0.0
RC00573_I	r	RC00573_I	R00573	6.3.4.2	[c] : atp_I + gln-L_I + h2o_I + utp_I --> adp_I + ctp_I + glu-L_I + (2) h_I + pi_I	C00002_I + C00064_I + C00001_I + C00075_I --> C00008_I + C00063_I + C00025_I + (2) C00080_I + C00009_I	ctps-1_I	Pyrimidine metabolism	-0.0
RC00575_I	r	RC00575_I	R00575	6.3.5.5	[c] : (2) atp_I + gln-L_I + h2o_I + hco3_I --> (2) adp_I + cbp_I + glu-L_I + (2) h_I + pi_I	(2) C00002_I + C00064_I + C00001_I + C00288_I --> (2) C00008_I + C00169_I + C00025_I + (2) C00080_I + C00009_I	pyr-1_I	Pyrimidine metabolism	-0.0
RC00578_I	r	RC00578_I	R00578	6.3.5.4	[c] : asp-L_I + atp_I + gln-L_I + h2o_I --> amp_I + asn-L_I + glu-L_I + h_I + ppi_I	C00049_I + C00002_I + C00064_I + C00001_I --> C00020_I + C00152_I + C00025_I + C00080_I + C00013_I	asns-1_I | asns-2_I	Alanine, aspartate and glutamate metabolism	-0.0
RC00582_I	r	RC00582_I	R00582	3.1.3.3	[c] : h2o_I + pser-L_I --> pi_I + ser-L_I	C00001_I + C01005_I --> C00009_I + C00065_I	Y62E10A.13_I	Glycine, serine and threonine metabolism	0.00280586221222
RC00585_I	r	RC00585_I	R00585	2.6.1.51	pyr_I + ser-L_I <==> ala-L_I + hpyr_I	C00022_I + C00065_I <==> C00041_I + C00168_I	agxt-1_I	Glycine, serine and threonine metabolism	0.0
RC00602_I	r	RC00602_I	R00602	1.11.1.6;1.11.1.7	[c] : h2o2_I + meoh_I --> fald_I + (2) h2o_I	C00027_I + C00132_I --> C00067_I + (2) C00001_I	(ctl-1_I | ctl-2_I | ctl-3_I) | (prdx-6_I)	Methane metabolism	-0.0
RC00619_I	r	RC00619_I	R00619	2.7.6.2	[c] : atp_I + thm_I --> amp_I + h_I + thmpp_I	C00002_I + C00378_I --> C00020_I + C00080_I + C00068_I	tpk-1_I	Thiamine metabolism	-0.0
RC00631_I	r	RC00631_I	R00631	1.2.1.3	fattyald_I + nad_I + h2o_I <==> Rtotal7_I + nadh_I + (2) h_I	C00071_I + C00003_I + C00001_I <==> CC0122_I + C00004_I + (2) C00080_I	(alh-2_I | alh-4_I) | (alh-11_I | alh-12_I)	Degradation of alkylacylglycerolipids	0.00999999999999
RC00650_I	r	RC00650_I	R00650	2.1.1.10	amet_I + hcys-L_I --> ahcys_I + met-L_I + h_I	C00019_I + C00155_I --> C00021_I + C00073_I + C00080_I	T13G4.4_I	Cysteine and methionine metabolism	-0.0
RC00658_I	r	RC00658_I	R00658	4.2.1.11	[c] : 2pg_I <==> pep_I + h2o_I	C00631_I <==> C00074_I + C00001_I	enol-1_I	Glycolysis / Gluconeogenesis	0.750657364581
RC00662_I	r	RC00662_I	R00662	3.6.1.19	[c] : h2o_I + utp_I --> h_I + ppi_I + ump_I	C00001_I + C00075_I --> C00080_I + C00013_I + C00105_I	hap-1_I	Pyrimidine metabolism	-0.0
RC00669_I	r	RC00669_I	R00669	3.5.1.14;3.5.1.16	[c] : acorn_I + h2o_I <==> ac_I + orn_I	C00437_I + C00001_I <==> C00033_I + C00077_I	(C06A6.4_I | C10C5.3_I | C10C5.4_I | C10C5.5_I) | C44E12.1_I	Arginine and proline metabolism	0.0
RC00670_I	r	RC00670_I	R00670	4.1.1.17	[c] : h_I + orn_I --> co2_I + ptrc_I	C00080_I + C00077_I --> C00011_I + C00134_I	F53F10.2_I | odc-1_I	Arginine and proline metabolism	-0.0
RC00678_I	r	RC00678_I	R00678	1.13.11.11	[c] : o2_I + trp-L_I --> Lfmkynr_I	C00007_I + C00078_I --> C02700_I	tdo-2_I	Tryptophan metabolism	-0.0
RC00685_I	r	RC00685_I	R00685	4.1.1.28	[c] : h_I + trp-L_I --> co2_I + trypta_I	C00080_I + C00078_I --> C00011_I + C00398_I	bas-1_I | hdl-1_I | tdc-1_I	Tryptophan metabolism	-0.0
RC00694_I	r	RC00694_I	R00694	2.6.1.1;2.6.1.5	[c] : akg_I + phe-L_I <==> glu-L_I + phpyr_I	C00026_I + C00079_I <==> C00025_I + C00166_I	got-1.2_I | tatn-1_I	Phenylalanine metabolism	0.0
RC00698_I	r	RC00698_I	R00698	1.11.1.7	[c]: phe-L_I + o2_I <==> pad_I + co2_I + h2o_I	C00079_I + C00007_I <==> C02505_I + C00011_I + C00001_I	prdx-6_I	Phenylalanine metabolism	0.0
RC00699_I	r	RC00699_I	R00699	4.1.1.28	[c] : h_I + phe-L_I --> co2_I + peamn_I	C00080_I + C00079_I --> C00011_I + C05332_I	bas-1_I | hdl-1_I | tdc-1_I	Phenylalanine metabolism	0.0
RC00703_I	r	RC00703_I	R00703	1.1.1.27	[c] : lac-L_I + nad_I <==> pyr_I + nadh_I + h_I	C00186_I + C00003_I <==> C00022_I + C00004_I + C00080_I	ldh-1_I	Glycolysis / Gluconeogenesis	0.0
RC00710_I	r	RC00710_I	R00710	1.2.1.3	[c] : acald_I + nad_I + h2o_I --> ac_I + nadh_I + (2) h_I	C00084_I + C00003_I + C00001_I --> C00033_I + C00004_I + (2) C00080_I	(alh-2_I | alh-4_I) | (alh-11_I | alh-12_I)	Glycolysis / Gluconeogenesis	-0.0
RC00711_I	r	RC00711_I	R00711	1.2.1.5	[c] : acald_I + nadp_I + h2o_I --> ac_I + nadph_I + (2) h_I	C00084_I + C00006_I + C00001_I --> C00033_I + C00005_I + (2) C00080_I	alh-5_I	Glycolysis / Gluconeogenesis	0.188077957332
RC00720_I	r	RC00720_I	R00720	3.6.1.19	[c] : h2o_I + itp_I --> h_I + imp_I + ppi_I	C00001_I + C00081_I --> C00080_I + C00130_I + C00013_I	hap-1_I	Purine metabolism	-0.0
RC00722_I	r	RC00722_I	R00722	2.7.4.6	[c] : atp_I + idp_I <==> adp_I + itp_I	C00002_I + C00104_I <==> C00008_I + C00081_I	R05G6.5_I | Y48G8AL.15_I | ndk-1_I	Purine metabolism	0.0
RC00731_I	r	RC00731_I	R00731	1.14.18.1	[c] : o2_I + (2) tyr-L_I --> (2) 34dhphe_I	C00007_I + (2) C00082_I --> (2) C00355_I	tyr-1_I | tyr-2_I | tyr-3_I | tyr-4_I | tyr-5_I | tyr-6_I	Tyrosine metabolism	0.0
RC00734_I	r	RC00734_I	R00734	2.6.1.1;2.6.1.5	[c] : akg_I + tyr-L_I <==> 34hpp_I + glu-L_I	C00026_I + C00082_I <==> C01179_I + C00025_I	got-1.2_I | tatn-1_I	Ubiquinone and other terpenoid-quinone biosynthesis	0.00999999999999
RC00736_I	r	RC00736_I	R00736	4.1.1.28	[c] : h_I + tyr-L_I --> co2_I + tym_I	C00080_I + C00082_I --> C00011_I + C00483_I	tdc-1_I	Tyrosine metabolism	-0.0
RC00748_I	r	RC00748_I	R00748	4.2.3.2	ethamp_I + h2o_I --> acald_I + nh4_I + pi_I	C00346_I + C00001_I --> C00084_I + C00014_I + C00009_I	T01B11.2_I	Glycerophospholipid metabolism	-0.0
RC00751_I	r	RC00751_I	R00751	4.1.2.5	[c] : thr-L_I <==> acald_I + gly_I	C00188_I <==> C00084_I + C00037_I	R102.4_I	Glycine, serine and threonine metabolism	0.0965528560813
RC00754_I	r	RC00754_I	R00754	1.1.1.1	[c] : etoh_I + nad_I <==> acald_I + nadh_I + h_I	C00469_I + C00003_I <==> C00084_I + C00004_I + C00080_I	H24K24.3_I | (D2063.1_I | sodh-1_I | sodh-2_I)	Glycolysis / Gluconeogenesis	0.0
RC00765_I	r	RC00765_I	R00765	3.5.99.6	[c] : gam6p_I + h2o_I --> f6p_I + nh4_I	C00352_I + C00001_I --> C00085_I + C00014_I	T03F6.3_I	Amino sugar and nucleotide sugar metabolism	-0.0
RC00768_I	r	RC00768_I	R00768	2.6.1.16	[c] : f6p_I + gln-L_I --> gam6p_I + glu-L_I	C00085_I + C00064_I --> C00352_I + C00025_I	gfat-1_I | gfat-2_I	Alanine, aspartate and glutamate metabolism	-0.0
RC00782_I	r	RC00782_I	R00782	4.4.1.1	[c] : cys-L_I + h2o_I --> h2s_I + nh4_I + pyr_I	C00097_I + C00001_I --> C00283_I + C00014_I + C00022_I	cbl-1_I | cth-1_I | cth-2_I	Cysteine and methionine metabolism	-0.0
RC00801_I	r	RC00801_I	R00801	3.2.1.20	[c] : h2o_I + sucr_I --> fru_I + glc-D_I	C00001_I + C00089_I --> C00095_I + C00031_I	aagr-1_I | aagr-2_I	Galactose metabolism	-0.0
RC00842_I	r	RC00842_I	R00842	1.1.1.8	[c] : dhap_I + h_I + nadh_I <==> glyc3p_I + nad_I	C00111_I + C00080_I + C00004_I <==> C00093_I + C00003_I	gpdh-1_I	Glycerophospholipid metabolism	0.0
RC00847_I	r	RC00847_I	R00847	2.7.1.30	[c] : atp_I + glyc_I --> adp_I + glyc3p_I + h_I	C00002_I + C00116_I --> C00008_I + C00093_I + C00080_I	R11F4.1_I	Glycerolipid metabolism	0.0539496907057
RC00851_I	r	RC00851_I	R00851	2.3.1.15	[c] : Rtotalcoa_I + glyc3p_I --> alpa_pl_I + coa_I	C00040_I + C00093_I --> C00681_I + C00010_I	acl-6_I | (acl-4_I | acl-5_I)	Glycerolipid metabolism	0.00955645681299
RC00867_I	r	RC00867_I	R00867	2.7.1.1	[c] : atp_I + fru_I --> adp_I + f6p_I + h_I	C00002_I + C00095_I --> C00008_I + C00085_I + C00080_I	hxk-1_I | hxk-2_I | hxk-3_I	Fructose and mannose metabolism	-0.0
RC00875_I	r	RC00875_I	R00875	1.1.1.14	[c] : nad_I + sbt-D_I <==> fru_I + h_I + nadh_I	C00003_I + C00794_I <==> C00095_I + C00080_I + C00004_I	R04B5.5_I | R04B5.6_I	Fructose and mannose metabolism	0.0
RC00885_I	r	RC00885_I	R00885	2.7.7.13	[c] : gtp_I + h_I + man1p_I <==> gdpmann_I + ppi_I	C00044_I + C00080_I + C00636_I <==> C00096_I + C00013_I	tag-335_I | Y47D9A.1_I	Fructose and mannose metabolism	0.0
RC00888_I	r	RC00888_I	R00888	4.2.1.47	[c] : gdpmann_I --> gdpddman_I + h2o_I	C00096_I --> C01222_I + C00001_I	bre-1_I | gmd-2_I	Fructose and mannose metabolism	0.0
RC00893_I	r	RC00893_I	R00893	1.13.11.20	[c] : cys-L_I + o2_I --> 3sala_I + (2) h_I	C00097_I + C00007_I --> C00606_I + (2) C00080_I	cdo-1_I	Cysteine and methionine metabolism	-0.0
RC00894_I	r	RC00894_I	R00894	6.3.2.2	[c] : atp_I + cys-L_I + glu-L_I --> adp_I + glucys_I + h_I + pi_I	C00002_I + C00097_I + C00025_I --> C00008_I + C00669_I + C00080_I + C00009_I	gcs-1_I | E01A2.1_I	Glutathione metabolism	-0.0
RC00895_I	r	RC00895_I	R00895	2.6.1.1	cys-L_I + akg_I <==> mercppyr_I + glu-L_I	C00097_I + C00026_I <==> C00957_I + C00025_I	got-1.2_I | got-2.1_I | got-2.2_I	Cysteine and methionine metabolism	0.0
RC00897_I	r	RC00897_I	R00897	2.5.1.47	[c] : acser_I + h2s_I --> ac_I + cys-L_I + h_I	C00979_I + C00283_I --> C00033_I + C00097_I + C00080_I	F01D4.8_I | F13B12.4_I | F59A7.7_I | T25D3.3_I | cysl-1_I | cysl-2_I | cysl-3_I | cysl-4_I	Cysteine and methionine metabolism	-0.0
RC00899_I	r	RC00899_I	R00899	3.4.11.1;3.4.11.2	[c] : cgly_I + h2o_I --> cys-L_I + gly_I	C01419_I + C00001_I --> C00097_I + C00037_I	(lap-1_I | lap-2_I) | T07F10.1_I	Glutathione metabolism	-0.0
RC00905_I	r	RC00905_I	R00905	3.5.1.6	[c] : cala_I + (2) h_I + h2o_I --> ala-B_I + co2_I + nh4_I	C02642_I + (2) C00080_I + C00001_I --> C00099_I + C00011_I + C00014_I	upb-1_I	Pyrimidine metabolism	-0.0
RC00936_I	r	RC00936_I	R00936	1.5.1.3	[c] : dhf_I + h_I + nadh_I <==> nad_I + thf_I	C00415_I + C00080_I + C00004_I <==> C00003_I + C00101_I	dhfr-1_I	One carbon pool by folate	0.0
RC00939_I	r	RC00939_I	R00939	1.5.1.3	[c] : dhf_I + h_I + nadph_I <==> nadp_I + thf_I	C00415_I + C00080_I + C00005_I <==> C00006_I + C00101_I	dhfr-1_I	One carbon pool by folate	0.0
RC00941_I	r	RC00941_I	R00941	1.5.1.6	[c] : 10fthf_I + h2o_I + nadp_I --> co2_I + h_I + nadph_I + thf_I	C00234_I + C00001_I + C00006_I --> C00011_I + C00080_I + C00005_I + C00101_I	alh-3_I	One carbon pool by folate	-0.0
RC00943_I	r	RC00943_I	R00943	6.3.4.3	[c] : atp_I + for_I + thf_I <==> 10fthf_I + adp_I + pi_I	C00002_I + C00058_I + C00101_I <==> C00234_I + C00008_I + C00009_I	K07E3.4_I	One carbon pool by folate	-0.19192822432
RC00945_I	r	RC00945_I	R00945	2.1.2.1	[c] : ser-L_I + thf_I <==> gly_I + h2o_I + mlthf_I	C00065_I + C00101_I <==> C00037_I + C00001_I + C00143_I	mel-32_I	Glycine, serine and threonine metabolism	0.19192822432
RC00946_I	r	RC00946_I	R00946;R05182	2.1.1.13	[c] : 5mthf_I + hcys-L_I --> h_I + met-L_I + thf_I	C00440_I + C00155_I --> C00080_I + C00073_I + C00101_I	metr-1_I & mtrr-1_I	Cysteine and methionine metabolism	-0.0
RC00955_I	r	RC00955_I	R00955	2.7.7.12	[c] : gal1p_I + udpg_I <==> g1p_I + udpgal_I	C00446_I + C00029_I <==> C00103_I + C00052_I	ZK1058.3_I	Galactose metabolism	0.0
RC00959_I	r	RC00959_I	R00959	5.4.2.2	[c] : g1p_I <==> g6p-A_I	C00103_I <==> C00668_I	R05F9.6_I | Y43F4B.5_I	Glycolysis / Gluconeogenesis	0.131735901855
RC00961_I	r	RC00961_I	R00961	3.6.1.6	[c] : h2o_I + idp_I <==> h_I + imp_I + pi_I	C00001_I + C00104_I <==> C00080_I + C00130_I + C00009_I	(ZK563.7_I | apy-1_I) | mig-23_I | uda-1_I	Purine metabolism	0.0
RC00963_I	r	RC00963_I	R00963	3.1.3.5	[c] : h2o_I + ump_I --> pi_I + uri_I	C00001_I + C00105_I --> C00009_I + C00299_I	F25B5.3_I | Y10G11A.1_I | Y71H10B.1_I	Pyrimidine metabolism	0.0269101716252
RC00964_I	r	RC00964_I	R00964	2.7.1.48	[c] : atp_I + uri_I --> adp_I + h_I + ump_I	C00002_I + C00299_I --> C00008_I + C00080_I + C00105_I	B0001.4_I | F19B6.1_I	Pyrimidine metabolism	-0.0
