	Machine readable ID	Human readable ID	Name	formula	charge	Comments	BiGG	Other names
leuktrB4	C02165	leuktrB4	Leukotriene B4	C20H31O4	-1.0	BiGG compound	leuktrB4	(6Z,8E,10E,14Z)-(5S,12R)-5,12-Dihydroxyeicosa-6,8,10,14-tetraenoate, (6Z,8E,10E,14Z)-(5S,12R)-5,12-Dihydroxyicosa-6,8,10,14-tetraenoate, LTB4
fuc1p-L	C02985	fuc1p-L	L-Fucose 1-phosphate	C6H11O8P	-2.0	BiGG compound		6-Deoxy-L-galactose 1-phosphate, beta-L-Fucose 1-phosphate
lys-L	C00047	lys-L	L-Lysine	C6H15N2O2	1.0	BiGG compound	lys-L	Lysine acid, 2,6-Diaminohexanoic acid
trnagln	C01640	trnagln	tRNA(Gln)	ROH	0.0	tRNA formula in BiGG was modified for mass balance	trnagln	
taur	C00245	taur	Taurine	C2H7NO3S	0.0	BiGG compound	taur	2-Aminoethanesulfonic acid, Aminoethylsulfonic acid
b2coa	C00877	b2coa	Crotonoyl-CoA	C25H36N7O17P3S	-4.0	BiGG compound	b2coa	Crotonyl-CoA, 2-Butenoyl-CoA, trans-But-2-enoyl-CoA, But-2-enoyl-CoA, (E)-But-2-enoyl-CoA
fe2	C14818	fe2	Fe2+	Fe	2.0	BiGG compound	fe2	Fe(II), Ferrous ion, Iron(2+)
fe3	C14819	fe3	Fe3+	Fe	3.0	BiGG compound	fe3	Fe(III), Ferric ion, Iron(3+)
trnaglu	C01641	trnaglu	tRNA (Glu)	ROH	0.0	tRNA formula in BiGG was modified for mass balance	trnaglu	tRNA(Glu)
trnagly	C01642	trnagly	tRNA(Gly)	ROH	0.0	tRNA formula in BiGG was modified for mass balance	trnagly	
5fthf	C03479	5fthf	5-Formyltetrahydrofolate	C20H21N7O7	-2.0	BiGG compound	5fthf	Folinic acid, Leucovorin, L(-)-5-Formyl-5,6,7,8-tetrahydrofolic acid
dlnlcgcrn	CC0103	dlnlcgcrn	dihomo-gamma-linolenyl carnitine	C27H47NO4	0.0	charge and formula based on other acyl carnitines	dlnlcgcrn	
3mob	C00141	3mob	3-Methyl-2-oxobutanoate	C5H7O3	-1.0	BiGG compound	3mob	3-Methyl-2-oxobutanoic acid, 3-Methyl-2-oxobutyric acid, 2-Oxo-3-methylbutanoate, 2-Oxoisovalerate, 2-Oxoisopentanoate, alpha-Ketovaline, 2-Ketovaline, 2-Keto-3-methylbutyric acid
ach	C01996	ach	Acetylcholine	C7H16NO2	1.0	BiGG compound	ach	O-Acetylcholine
3hfa28p0	CC0176	3hfa28p0	3-hydroxy-octacosanoic acid	C28H55O3	-1.0	charge is based on the fatty acid chain		
adsel	C05686	adsel	Adenylylselenate	C10H12N5O10PSe	-2.0	BiGG compound	adsel	Adenosine-5'-phosphoselenate
dolglcp	C01246	dolglcp	Dolichyl beta-D-glucosyl phosphate	C116H190O9P	-1.0	assumed n=18 for the number of isoprene units	dolglcp_L,dolglcp_U	
o2s	C00704	o2s	Superoxide anion	O2	-1.0	BiGG compound	o2s	O2.-, O2-
retinol-9-cis	C16682	retinol-9-cis	9-cis-retinol	C20H30O	0.0	BiGG compound	retinol-9-cis	
4hoxpacd	C03765	4hoxpacd	4-Hydroxyphenylacetaldehyde	C8H8O2	0.0	BiGG compound	4hoxpacd	2-(4-Hydroxyphenyl)acetaldehyde
glytrna	C02412	glytrna	Glycyl-tRNA(Gly)	C2H5NO2R	1.0	tRNA formula in BiGG was modified for mass balance	glytrna	
selmeth	C05335	selmeth	Selenomethionine	C5H11NO2Se	0.0	BiGG compound	selmeth	L-Selenomethionine
tag	C00422	tag	triacylglycerol	C54.9054H99.5282O6.0	-0.0	charge is obvious based on general rules and similar compounds	tag_hs	Triglyceride
pmtcoa	C00154	pmtcoa	Palmitoyl-CoA (n-C16:0CoA)	C37H62N7O17P3S	-4.0	BiGG compound	pmtcoa	Palmitoyl-CoA, Hexadecanoyl-CoA
BAC	CC0050	BAC	Bacteria in diet	C39.944Co0.0004Fe0.0011H62.5579Mo0.0063N10.1973O15.2944P0.897S0.2323Se0.0002	-0.7811	represents bacterial diet; charge does not matter		
ac_adprib	C20658	ac_adprib	O-Acetyl-ADP-ribose	C17H23N5O15P2	-2.0	charge based on MetaCyc		2'-O-Acetyl-ADP-ribose, AADPR
gsn	C00387	gsn	Guanosine	C10H13N5O5	0.0	BiGG compound	gsn	
pail5p	C11557	pail5p	1-Phosphatidyl-1D-myo-inositol 5-phosphate 	C46.1308H78.1556O16.0P2.0	-3.0	charge based on human version in BiGG	pail5p_hs	1-Phosphatidyl-1D-myo-inositol 5-phosphate, 1,2-Diacyl-sn-glycero-3-phospho-(1'-myo-inositol-5'-phosphate)
dgsn	C00330	dgsn	Deoxyguanosine	C10H13N5O4	0.0	BiGG compound	dgsn	2'-Deoxyguanosine
2mb2coa	C03345	2mb2coa	trans-2-Methylbut-2-enoyl-CoA	C26H38N7O17P3S	-4.0	BiGG compound	2mb2coa	2-Methylbut-2-enoyl-CoA, Tiglyl-CoA, (E)-2-Methylcrotonoyl-CoA, Methylcrotonoyl-CoA, Methylcrotonyl-CoA, Tigloyl-CoA, 2-Methylcrotanoyl-CoA
xoltri25	C15520	xoltri25	"7-alpha,25-Dihydroxycholesterol"	C27H46O3	0.0	BiGG compound	xoltri25	Cholest-5-ene-3beta,7alpha,25-triol, 7alpha,25-Dihydroxycholesterol, 5-Cholesten-3beta,7alpha,25-triol, 3beta,7alpha,25-Trihydroxycholest-5-ene
lnlncacoa	C16162	lnlncacoa	alpha-Linolenoyl-CoA	C39H60N7O17P3S	-4.0	BiGG compound	lnlncacoa	(9Z,12Z,15Z)-Octadecatrienoyl-CoA
3hmbcoa	C04405	3hmbcoa	(S)-3-Hydroxy-2-methylbutyryl-CoA	C26H40N7O18P3S	-4.0	BiGG compound	3hmbcoa	(2S,3S)-3-Hydroxy-2-methylbutanoyl-CoA
bildglcur	C05787	bildglcur	Bilirubin beta-diglucuronide	C45H50N4O18	-2.0	BiGG compound	bildglcur	Bilirubin-bisglucuronoside
cgly	C01419	cgly	Cys-Gly	C5H10N2O3S	0.0	BiGG compound	cgly	L-Cysteinylglycine
gdpmann	C00096	gdpmann	GDP-D-mannose	C16H23N5O16P2	-2.0	BiGG compound	gdpmann	GDP-mannose, GDP-alpha-D-mannose
7thf	CC0005	7thf	heptaglutamyl folate (THF)	C49H57N13O24	-8.0	BiGG compound	7thf	
3hanthrn	C00632	3hanthrn	3-Hydroxyanthranilate	C7H7NO3	0.0	BiGG compound	3hanthrn	3-Hydroxyanthranilic acid
prot_other	CC0118	prot_other	Non-mitochondrial protein	C4.8274H7.5773N1.3013O1.5242S0.0124	-0.0489	for biomass equation; charge does not matter		
retinal-cis-9	C16681	retinal-cis-9	cis-9-retinal	C20H28O	0.0	BiGG compound	retinal-cis-9	9-cis-Retinal
akac2gchol	C05212	akac2gchol	1-alkyl 2-acylglycerol 3-phosphocholine	C44.5654H86.5778N1.0O7.0P1.0	-0.0	second R is from alcohol	ak2gchol_hs	1-Radyl-2-acyl-sn-glycero-3-phosphocholine, 1-Organyl-2-acyl-sn-glycero-3-phosphocholine, 2-Acyl-1-alkyl-sn-glycero-3-phosphocholine
3mb2coa	C03069	3mb2coa	3-Methylbut-2-enoyl-CoA	C26H38N7O17P3S	-4.0	BiGG compound	3mb2coa	3-Methylcrotonyl-CoA, 3-Methylcrotonoyl-CoA, Dimethylacryloyl-CoA
5HPET	C05356	5HPET	"5-Hydroperoxy-6-trans-8,11,14-cis-eicosatetraenoate"	C20H31O4	-1.0	BiGG compound	5HPET	5(S)-HPETE, 5(S)-Hydroperoxy-6-trans-8,11,14-cis-eicosatetraenoic acid, (6E,8Z,11Z,14Z)-(5S)-5-Hydroperoxyeicosa-6,8,11,14-tetraenoate, (6E,8Z,11Z,14Z)-(5S)-5-Hydroperoxyeicosa-6,8,11,14-tetraenoic acid, (5S,6E,8Z,11Z,14Z)-5-Hydroperoxyicosa-6,8,11,14-tetraenoate
sucr	C00089	sucr	Sucrose	C12H22O11	0.0	BiGG compound	sucr	Cane sugar, Saccharose, 1-alpha-D-Glucopyranosyl-2-beta-D-fructofuranoside
4hbz	C00156	4hbz	4-Hydroxybenzoate	C7H5O3	-1.0	BiGG compound	4hbz	Hydroxybenzoic acid, 4-Hydroxybenzoic acid, Hydroxybenzenecarboxylic acid
hemea	C15670	hemea	heme A	C49H54FeN4O6	0.0	charge based on the heme convention used (see C00126)	hemeA_#1	
hemeo	C15672	hemeo	heme O	C49H56FeN4O5	0.0	charge based on the heme convention used (see C00126)	hemeo	
datp	C00131	datp	dATP	C10H12N5O12P3	-4.0	BiGG compound	datp	2'-Deoxyadenosine 5'-triphosphate, Deoxyadenosine 5'-triphosphate, Deoxyadenosine triphosphate
ficytb	C00996	ficytb	Ferricytochrome b5	X	0.0	based on R00100; charge is assumed and is not important as long as ficytb and focytb are of the same charge. | Reaction for electron accepting is : 2XH --> 2X + 2e + 2H+ ; consistent with R00100		
cdpascl	C17327	cdpascl	CDP-ascarylose	C15H23N3O14P2	-2.0	charge is assumed based on CDP group		
succ	C00042	succ	Succinate	C4H4O4	-2.0	BiGG compound	succ	Succinic acid, Butanedionic acid, Ethylenesuccinic acid
btcoa	C00136	btcoa	Butanoyl-CoA	C25H38N7O17P3S	-4.0	BiGG compound	btcoa	Butyryl-CoA
3oocoa	C05267	3oocoa	3-Oxooctanoyl-CoA	C29H44N7O18P3S	-4.0	BiGG compound	3oocoa	
mag	C01885	mag	monoacylglycerol 2 	C20.3018H38.5094O4.0	0.0	charge based on human version in BiGG	mag_hs	1-Acylglycerol, Glyceride, Monoglyceride, Monoacylglycerol, 1-Monoacylglycerol
xol7aone	C05455	xol7aone	7alpha-Hydroxycholest-4-en-3-one	C27H44O2	0.0	BiGG compound	xol7aone	
4hglusa	C05938	4hglusa	L-4-Hydroxyglutamate semialdehyde	C5H9NO4	0.0	BiGG compound	4hglusa	
dad-2	C00559	dad-2	Deoxyadenosine	C10H13N5O3	0.0	BiGG compound	dad-2	2'-Deoxyadenosine
sedh	C02076	sedh	sedoheptulose	C7H14O7	0.0	charge is obvious based on general rules and similar compounds		D-altro-Heptulose, D-Sedoheptulose, Volemulose
fa19c11	CC0079	fa19c11	cis-11,12-methyleneoctadecanoic acid	C19H35O2	-1.0	charge is obvious based on general rules and similar compounds		
rib-D	C00121	rib-D	D-Ribose	C5H10O5	0.0	BiGG compound	rib-D	
lnlncgcoa	C03035	lnlncgcoa	gamma-linolenoyl-CoA	C39H60N7O17P3S	-4.0	BiGG compound	lnlncgcoa	
retinol	C00473	retinol	Retinol	C20H30O	0.0	BiGG compound	retinol	all-trans-Retinol, Vitamin A, Vitamin A1
ficytC	C00125	ficytC	Ferricytochrome c	C42H42FeN8O8S2R4	1.0	charge changed from +3 to +1. BIGG charging convention seems to not take into account the carboxyl groups of porphyrin structure.  However, these have to be taken into account during cytochrome synthesis.  The adjusted charge convention is consistent with mass balance	ficytC	Cytochrome c3+
trnaile	C01644	trnaile	tRNA(Ile)	ROH	0.0	tRNA formula in BiGG was modified for mass balance	trnaile	
2aobut	C03508	2aobut	L-2-Amino-3-oxobutanoate	C4H7NO3	0.0	BiGG compound	2aobut	L-2-Amino-3-oxobutanoic acid, L-2-Amino-acetoacetate, (S)-2-Amino-3-oxobutanoic acid
bilirub	C00486	bilirub	Bilirubin	C33H34N4O6	-2.0	BiGG compound	bilirub	
Nlys	C02415	Nlys	Histone-L-Lysine	XC6H13N2O	1.0	based on peplys	peplys	
3sala	C00606	3sala	3-Sulfino-L-alanine	C3H5NO4S	-2.0	BiGG compound	3sala	L-Cysteinesulfinic acid, 3-Sulphino-L-alanine, 3-Sulfinoalanine
saccrp-L	C00449	saccrp-L	L-Saccharopine	C11H19N2O6	-1.0	BiGG compound	saccrp-L	N6-(L-1,3-Dicarboxypropyl)-L-lysine, Saccharopine, N-[(S)-5-Amino-5-carboxypentyl]-L-glutamic acid
4mop	C00233	4mop	4-Methyl-2-oxopentanoate	C6H9O3	-1.0	BiGG compound	4mop	2-Oxoisocaproate
sectrna	C06482	sectrna	L-Selenocysteinyl-tRNA(Sec)	C3H7NO2SeR	1.0	tRNA formula in BiGG was modified for mass balance	sectrna	
Ntmelys	CC0153	Ntmelys	Histone N6,N6,N6-trimethyl-L-lysine	XC9H19N2O	1.0	formula and charge based on MetaCyc	Ntmelys	
strdnccoa	C16163	strdnccoa	stearidonyl coenzyme A	C39H58N7O17P3S	-4.0	BiGG compound	strdnccoa	(6Z,9Z,12Z,15Z)-Octadecatetraenoyl-CoA, Stearidonoyl-CoA
forcoa	C00798	forcoa	Formyl-CoA	C22H32N7O17P3S	-4.0	BiGG compound	forcoa	
fa19p0iso	CC0167	fa19p0iso	17-methyloctadecanoic acid	C19H37O2	-1.0	charge is based on similar metabolites		
ttc-ggdp	C00353	ttc-ggdp	"trans,trans,cis-Geranylgeranyl diphosphate"	C20H33O7P2	-3.0	BiGG compound	ttc-ggdp	Geranylgeranyl diphosphate, Geranylgeranyl pyrophosphate, all-trans-Geranylgeranyl diphosphate, all-trans-Geranylgeranyl pyrophosphate, (2E,6E,10E)-3,7,11,15-Tetramethylhexadeca-2,6,10,14-tetraen-1-yl diphosphate
man6p	C00275	man6p	D-Mannose 6-phosphate	C6H11O9P	-2.0	BiGG compound	man6p	
ametam	C01137	ametam	S-Adenosylmethioninamine	C14H24N6O3S	2.0	BiGG compound	ametam	(5-Deoxy-5-adenosyl)(3-aminopropyl)methylsulfonium, (5-Deoxy-5-adenosyl)(3-aminopropyl)methylsulfonium cation, S-Adenosyl-(5')-3-methylthiopropylamine, S-Adenosyl 3-(methylthio)propylamine, Decarboxy-AdoMet
pcollg_mod	CC0145	pcollg_mod	Procollagen (modified protein)	X	0.0	charge does not matter		
dc2coa	C05275	dc2coa	trans-Dec-2-enoyl-CoA	C31H48N7O17P3S	-4.0	BiGG compound	dc2coa	(2E)-Decenoyl-CoA
hmgth	C14180	hmgth	hydroxymethylglutathione	C11H18N3O7S	-1.0	BiGG compound	hmgth	S-(Hydroxymethyl)glutathione
lpchol	C04230	lpchol	Lysophosphatidylcholine	C26.5654H50.5778N1.0O7.0P1.0	0.0	charge is based on matching BiGG compounds	lpchol_hs	1-Acyl-sn-glycero-3-phosphocholine, 1-Acyl-sn-glycerol-3-phosphocholine, alpha-Acylglycerophosphocholine, 2-Lysolecithin, 2-Lysophosphatidylcholine, 1-Acylglycerophosphocholine
akac2gpe	C04475	akac2gpe	1-alkyl 2-acylglycerol 3-phosphoethanolamine	C41.5654H80.5778N1.0O7.0P1.0	-0.0	second R is from alcohol	ak2gpe_hs	1-Alkyl-2-acylglycerophosphoethanolamine, 1-Radyl-2-acyl-sn-glycero-3-phosphoethanolamine, 1-Organyl-2-acyl-sn-glycero-3-phosphoethanolamine, O-1-Alkyl-2-acyl-sn-glycero-3-phosphoethanolamine, 2-Acyl-1-alkyl-sn-glycero-3-phosphoethanolamine
trnaval	C01653	trnaval	tRNA(Val)	ROH	0.0	tRNA formula in BiGG was modified for mass balance	trnaval	
itp	C00081	itp	ITP	C10H11N4O14P3	-4.0	BiGG compound	itp	Inosine 5'-triphosphate, Inosine triphosphate, Inosine tripolyphosphate
molybd	C05924	molybd	Molybdopterin	C10H11N5O6PS2	-3.0	charge beased on MetaCyc and 3DMET		Pyranopterin, H2Dtpp-mP
dhcrm_ce	CC0204	dhcrm_ce	dihydroceramide 	C37.5654H71.5778N1.0O3.0	-0.0	charge based on human version in BiGG	dhcrm_hs	
akdhap	C03715	akdhap	Alkyl-glycerone 3-phosphate	C21.0H41.0O6.0P1.0	-2.0	charge based on human version in BiGG		O-Alkylglycerone phosphate, Dihydroxyacetone phosphate alkyl ether
2asc16mhpdcn	CC0173	2asc16mhpdcn	2-ascaryl-16-methyl-heptadecane	C24H48O4	0.0	charge is based on the chemical structure		
clb	C00185	clb	Cellobiose	C12H22O11	0.0	charge is obvious based on general rules and similar compounds		1-beta-D-Glucopyranosyl-4-D-glucopyranose
gtp	C00044	gtp	GTP	C10H12N5O14P3	-4.0	BiGG compound	gtp	Guanosine 5'-triphosphate
imp	C00130	imp	IMP	C10H11N4O8P	-2.0	BiGG compound	imp	Inosinic acid, Inosine monophosphate, Inosine 5'-monophosphate, Inosine 5'-phosphate, 5'-Inosinate, 5'-Inosinic acid, 5'-Inosine monophosphate, 5'-IMP
asntrna	C03402	asntrna	L-Asparaginyl-tRNA(Asn)	C4H8N2O3R	1.0	tRNA formula in BiGG was modified for mass balance	asntrna	Asn-tRNA(Asn), Asparaginyl-tRNA(Asn)
mi1345p	C01272	mi1345p	"1D-myo-Inositol 1,3,4,5-tetrakisphosphate"	C6H8O18P4	-8.0	BiGG compound	mi1345p	1D-myo-Inositol 1,3,4,5-tetrakisphosphate, D-myo-Inositol 1,3,4,5-tetrakisphosphate, Inositol 1,3,4,5-tetrakisphosphate
5htrp	C00643	5htrp	5-Hydroxy-L-tryptophan	C11H12N2O3	0.0	BiGG compound	5htrp	Oxitriptan
dpcoa	C00882	dpcoa	Dephospho-CoA	C21H33N7O13P2S	-2.0	BiGG compound	dpcoa	Dephosphocoenzyme A, 3'-Dephospho-CoA
xtsn	C01762	xtsn	Xanthosine	C10H12N4O6	0.0	BiGG compound	xtsn	
pram	C03090	pram	5-Phospho-beta-D-ribosylamine	C5H11NO7P	-1.0	BiGG compound	pram	5-Phosphoribosylamine, 5-Phospho-D-ribosylamine, 5-Phosphoribosyl-1-amine
trnaleu	C01645	trnaleu	tRNA(Leu)	ROH	0.0	tRNA formula in BiGG was modified for mass balance	trnaleu	
trp-L	C00078	trp-L	L-Tryptophan	C11H12N2O2	0.0	BiGG compound	trp-L	Tryptophan, (S)-alpha-Amino-beta-(3-indolyl)-propionic acid
udpg	C00029	udpg	UDPglucose	C15H22N2O17P2	-2.0	BiGG compound	udpg	UDP-glucose, UDP-D-glucose, Uridine diphosphate glucose, UDP-alpha-D-glucose
nadh	C00004	nadh	Nicotinamide adenine dinucleotide - reduced	C21H27N7O14P2	-2.0	BiGG compound	nadh	NADH, DPNH, Reduced nicotinamide adenine dinucleotide
Lfmkynr	C02700	Lfmkynr	L-Formylkynurenine	C11H12N2O4	0.0	BiGG compound	Lfmkynr	N-Formyl-L-kynurenine, N-Formylkynurenine
fa28p0coa	CC0165	fa28p0coa	octacosanoyl-CoA	C49H86N7O17P3S	-4.0	charge is based on similar metabolites		
gua	C00242	gua	Guanine	C5H5N5O	0.0	BiGG compound	gua	2-Amino-6-hydroxypurine
3spyr	C05528	3spyr	3-Sulfopyruvate	C3H2O6S	-2.0	BiGG compound	3spyr	3-Sulfopyruvic acid
25ascfa27p0	CC0179	25ascfa27p0	25-ascaryl-heptadecanoic acid	C33H63O6	-1.0	charge is based on the fatty acid chain		
focytC	C00126	focytC	Ferrocytochrome C	C42H42FeN8O8S2R4	0.0	charge changed from +2 to 0. BIGG charging convention seems to not take into account the carboxyl groups of porphyrin structure.  However, these have to be taken into account during cytochrome synthesis.  The adjusted charge convention is consistent with mass balance	focytC	Cytochrome c2+, Reduced cytochrome c
3aschpcosn	CC0178	3aschpcosn	3-ascaryl-heptacosane	C33H66O4	0.0	charge is based on the chemical structure		
qh2	C00390	qh2	Ubiquinol	C14H20O4	0.0	BiGG compound	qh2	QH2, CoQH2
phe-L	C00079	phe-L	L-Phenylalanine	C9H11NO2	0.0	BiGG compound	phe-L	(S)-alpha-Amino-beta-phenylpropionic acid
nadp	C00006	nadp	Nicotinamide adenine dinucleotide phosphate	C21H25N7O17P3	-3.0	BiGG compound	nadp	NADP+, NADP, beta-Nicotinamide adenine dinucleotide phosphate, TPN, Triphosphopyridine nucleotide, beta-NADP+
trnaala	C01635	trnaala	tRNA(Ala)	ROH	0.0	tRNA formula in BiGG was modified for mass balance	trnaala	
alatrna	C00886	alatrna	L-Alanyl-tRNA(Ala)	C3H7NO2R	1.0	tRNA formula in BiGG was modified for mass balance	alatrna	L-Alanyl-tRNA
akac2g	C03201	akac2g	1-alkyl 2-acylglycerol	C39.5654H74.5778O4.0	-0.0	charge based on human version in BiGG	ak2g_hs	1-Alkyl-2-acylglycerol, 2-Acyl-1-alkyl-sn-glycerol
pcollg5hlys	C01211	pcollg5hlys	Procollagen 5-hydroxy-L-lysine	XHO	1.0	formula is adjusted to CEL model; charge is according to MetaCyc	pcollg5hlys	Procollagen L-erythro-5-hydroxylysine
retpalm-cis-11	C03455	retpalm-cis-11	11-cis-Retinyl palmitate	C36H60O2	0.0	charge based on 11-cis-retfa in BIGG		
4aphdob	C01252	4aphdob	"4-(2-Aminophenyl)-2,4-dioxobutanoate"	C10H8NO4	-1.0	BiGG compound	4aphdob	4-(2-Aminophenyl)-2,4-dioxobutanoate
xoltetrol	C05446	xoltetrol	"3alpha,7alpha,12alpha,26-Tetrahydroxy-5beta-cholestane"	C27H48O4	0.0	BiGG compound	xoltetrol	3alpha,7alpha,12alpha,26-Tetrahydroxy-5beta-cholestane, 5beta-Cholestane-3alpha,7alpha,12alpha,26-tetraol, 5beta-Cholestane-3alpha,7alpha,12alpha,26-tetrol
fgam	C04376	fgam	N2-Formyl-N1-(5-phospho-D-ribosyl)glycinamide	C8H13N2O9P	-2.0	BiGG compound	fgam	5'-Phosphoribosyl-N-formylglycinamide, N-Formyl-GAR, N-Formylglycinamide ribonucleotide
focytb	C00999	focytb	Ferrocytochrome b5	XH	0.0	based on R00100; charge is assumed and is not important as long as ficytb and focytb are of the same charge. | Reaction for electron accepting is : 2XH --> 2X + 2e + 2H+ ; consistent with R00100		
man	C00159	man	D-Mannose	C6H12O6	0.0	BiGG compound	man	Mannose, Seminose, Carubinose
35diotyr	C01060	35diotyr	"3,5-Diiodo-L-tyrosine"	C9H9I2NO3	0.0	BiGG compound	35diotyr	3,5-Diiodo-L-tyrosine, 3,5-Diiodotyrosine, L-Diiodotyrosine
g1p	C00103	g1p	D-Glucose 1-phosphate	C6H11O9P	-2.0	BiGG compound	g1p	alpha-D-Glucose 1-phosphate, Cori ester, D-Glucose alpha-1-phosphate
sphs1p_ce	CC0210	sphs1p_ce	Sphingosine 1-phosphate	C19H39NO5P	-1.0	charge based on matching BiGG compound	sphs1p	
prostge2	C00584	prostge2	Prostaglandin E2	C20H31O5	-1.0	BiGG compound	prostge2	(5Z,13E)-(15S)-11alpha,15-Dihydroxy-9-oxoprosta-5,13-dienoate, (5Z,13E)-(15S)-11alpha,15-Dihydroxy-9-oxoprost-13-enoate, Dinoprostone, PGE2
gpail	C04248	gpail	D-glucosaminylphosphatidylinositol	C52.1308H91.1556N1.0O17.0P1.0	-0.0	charge based on human version in BiGG	gpail_hs	6-(alpha-D-Glucosaminyl)-1-phosphatidyl-1D-myo-inositol
2m16aschpdca	CC0169	2m16aschpdca	2-methyl-16-ascaryl-Heptadecanoic acid	C24H45O6	-1.0	charge is based on the fatty acid chain		
acg3pe	C04438	acg3pe	1-Acyl-sn-glycero-3-phosphoethanolamine;2-Acyl-sn-glycero-3-phosphoethanolamine	C23.5654H44.5778N1.0O7.0P1.0	0.0	charge is obvious based on general rules and similar compounds		1-Acyl-sn-glycero-3-phosphoethanolamine, L-2-Lysophosphatidylethanolamine
protSgerCmet	CC0018	protSgerCmet	Protein C-terminal S-geranylgeranyl-L-cysteine methyl ester	C26H43N2O3SR(C2H2NOR)n	0.0	(C2H2NOR)n represents the repetitive peptide; the sign would depend on the protein but taken zero by convention		
stachyose	C01613	stachyose	Stachyose	C24H42O21	0.0	change and formula based on MetaCyc		
ascr5	CC0161	ascr5	Ascaroside 5	C9H15O6	-1.0	SMID ID: ascr#5; charge is based on the chemical structure		
acg3ps	C18125	acg3ps	1-Acyl-sn-glycero-3-phosphoserine	C24.5654H43.5778N1.0O9.0P1.0	-1.0	charge is obvious based on general rules and similar compounds		
ascr1	CC0163	ascr1	Ascaroside 1	C13H23O6	-1.0	SMID ID: ascr#1; charge is based on the chemical structure		
ascr2	CC0159	ascr2	Ascaroside 2	C12H22O5	0.0	SMID ID: ascr#2; charge is based on the chemical structure		
ascr3	CC0160	ascr3	Ascaroside 3	C15H25O6	-1.0	SMID ID: ascr#3; charge is based on the chemical structure		
2hb	C05984	2hb	2-Hydroxybutyrate	C4H7O3	-1.0	BiGG compound	2hb	2-Hydroxybutanoic acid, 2-Hydroxybutyric acid
nm3masn	CC0038	nm3masn	M4Gn3	C52.0H87.0N5.0O38.0	-0.0	named according to PMID: 12603202 		
1mncam	C02918	1mncam	1-Methylnicotinamide	C7H9N2O	1.0	BiGG compound	1mncam	N(1)-Methylnicotinamide
sphings_ce	CC0211	sphings_ce	Sphingosine	C19H40NO2	1.0	charge based on matching BiGG compound	sphings	
cys-L	C00097	cys-L	L-Cysteine	C3H7NO2S	0.0	BiGG compound	cys-L	L-2-Amino-3-mercaptopropionic acid
3ascfa19p0iso	CC0168	3ascfa19p0iso	3-ascaryl-17-methyloctadecanoic acid 	C25H47O6	-1.0	charge is based on the fatty acid chain		
leuktrA4	C00909	leuktrA4	Leukotriene A4	C20H29O3	-1.0	BiGG compound	leuktrA4	LTA4, (7E,9E,11Z,14Z)-(5S,6S)-5,6-Epoxyeicosa-7,9,11,14-tetraenoic acid, (7E,9E,11Z,14Z)-(5S,6S)-5,6-Epoxyeicosa-7,9,11,14-tetraenoate, (7E,9E,11Z,14Z)-(5S,6S)-5,6-Epoxyicosa-7,9,11,14-tetraenoate, (5S,6S,7E,9E,11Z,14Z)-5,6-Epoxyicosa-7,9,11,14-tetraenoate
cholcoas	C17343	cholcoas	"3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestanoyl-CoA(S)"	C48H76N7O20P3S	-4.0	BiGG compound	cholcoas	(25S)-3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestan-26-oyl-CoA
cholcoar	C15613	cholcoar	"3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestanoyl-CoA"	C48H76N7O20P3S	-4.0	BiGG compound	cholcoar	(25R)-3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestan-26-oyl-CoA
cytd	C00475	cytd	Cytidine	C9H13N3O5	0.0	BiGG compound	cytd	
hcys-L	C00155	hcys-L	L-Homocysteine	C4H9NO2S	0.0	BiGG compound	hcys-L	L-2-Amino-4-mercaptobutyric acid, Homocysteine
mi1p-D	C01177	mi1p-D	1D-myo-Inositol 1-phosphate	C6H11O9P	-2.0	BiGG compound	mi1p-D	Inositol 1-phosphate, myo-Inositol 1-phosphate, D-myo-Inositol 1-phosphate, 1D-myo-Inositol 1-monophosphate
sucsal	C00232	sucsal	Succinic semialdehyde	C4H5O3	-1.0	BiGG compound	sucsal	Succinate semialdehyde, 4-Oxobutanoate
3hpcoa	C05668	3hpcoa	3-Hydroxypropionyl-CoA	C24H36N7O18P3S	-4.0	BiGG compound	3hpcoa	3-Hydroxypropionyl coenzyme A, 3-Hydroxypropanoyl-CoA, 3-Hydroxypropanoyl coenzymeA, beta-Hydroxypropionyl-CoA
glutcoa	C00527	glutcoa	Glutaryl-CoA	C26H37N7O19P3S	-5.0	BiGG compound	glutcoa	
pheme	C00032	pheme	Protoheme	C34H30FeN4O4	0.0	charge changed from -2 to 0. BIGG charging convention seems to not take into account the carboxyl groups of porphyrin structure.  However, these have to be taken into account during cytochrome synthesis.  The adjusted charge convention is consistent with mass balance.  	pheme	Heme, Haem, Heme B, Protoheme IX
srtn	C00780	srtn	Serotonin	C10H13N2O	1.0	BiGG compound	srtn	3-(2-Aminoethyl)-1H-indol-5-ol, 5-Hydroxytryptamine, Enteramine
