	Abbreviation	Name	Formula	Charge	Comments	BiGG	Other names
C16682	retinol-9-cis	9-cis-retinol	C20H30O	0	BiGG compound	retinol-9-cis	
C03765	4hoxpacd	4-Hydroxyphenylacetaldehyde	C8H8O2	0	BiGG compound	4hoxpacd	2-(4-Hydroxyphenyl)acetaldehyde
C02412	glytrna	Glycyl-tRNA(Gly)	C2H5NO2R	1.0	tRNA formula in BiGG was modified for mass balance	glytrna	
C05335	selmeth	Selenomethionine	C5H11NO2Se	0	BiGG compound	selmeth	L-Selenomethionine
C00422	tag	triacylglycerol	C3H5FULLR4CO2FULLR5CO2FULLR3CO2	0.0	charge is obvious based on general rules and similar compounds	tag_hs	Triglyceride
C00154	pmtcoa	Palmitoyl-CoA (n-C16:0CoA)	C37H62N7O17P3S	-4	BiGG compound	pmtcoa	Palmitoyl-CoA, Hexadecanoyl-CoA
CC0050	BAC	Bacteria in diet	X	0.0	represents bacterial diet; charge does not matter		
C20658	ac_adprib	O-Acetyl-ADP-ribose	C17H23N5O15P2	-2.0	charge based on MetaCyc		2'-O-Acetyl-ADP-ribose, AADPR
C00387	gsn	Guanosine	C10H13N5O5	0	BiGG compound	gsn	
C11557	pail5p	1-Phosphatidyl-1D-myo-inositol 5-phosphate 	C9H15O12P2FULLRCO2FULLR2CO2	-3.0	charge based on human version in BiGG	pail5p_hs	1-Phosphatidyl-1D-myo-inositol 5-phosphate, 1,2-Diacyl-sn-glycero-3-phospho-(1'-myo-inositol-5'-phosphate)
C00330	dgsn	Deoxyguanosine	C10H13N5O4	0	BiGG compound	dgsn	2'-Deoxyguanosine
C03345	2mb2coa	trans-2-Methylbut-2-enoyl-CoA	C26H38N7O17P3S	-4	BiGG compound	2mb2coa	2-Methylbut-2-enoyl-CoA, Tiglyl-CoA, (E)-2-Methylcrotonoyl-CoA, Methylcrotonoyl-CoA, Methylcrotonyl-CoA, Tigloyl-CoA, 2-Methylcrotanoyl-CoA
C15520	xoltri25	"7-alpha,25-Dihydroxycholesterol"	C27H46O3	0	BiGG compound	xoltri25	Cholest-5-ene-3beta,7alpha,25-triol, 7alpha,25-Dihydroxycholesterol, 5-Cholesten-3beta,7alpha,25-triol, 3beta,7alpha,25-Trihydroxycholest-5-ene
C16162	lnlncacoa	alpha-Linolenoyl-CoA	C39H60N7O17P3S	-4	BiGG compound	lnlncacoa	(9Z,12Z,15Z)-Octadecatrienoyl-CoA
C04405	3hmbcoa	(S)-3-Hydroxy-2-methylbutyryl-CoA	C26H40N7O18P3S	-4	BiGG compound	3hmbcoa	(2S,3S)-3-Hydroxy-2-methylbutanoyl-CoA
C05787	bildglcur	Bilirubin beta-diglucuronide	C45H50N4O18	-2	BiGG compound	bildglcur	Bilirubin-bisglucuronoside
C01419	cgly	Cys-Gly	C5H10N2O3S	0	BiGG compound	cgly	L-Cysteinylglycine
C00096	gdpmann	GDP-D-mannose	C16H23N5O16P2	-2	BiGG compound	gdpmann	GDP-mannose, GDP-alpha-D-mannose
CC0005	7thf	heptaglutamyl folate (THF)	C49H57N13O24	-8.0	BiGG compound	7thf	
C00632	3hanthrn	3-Hydroxyanthranilate	C7H7NO3	0	BiGG compound	3hanthrn	3-Hydroxyanthranilic acid
CC0118	prot_other	Non-mitochondrial protein	X	0.0	for biomass equation; charge does not matter		
C16681	retinal-cis-9	cis-9-retinal	C20H28O	0	BiGG compound	retinal-cis-9	9-cis-Retinal
C05212	akac2gchol	1-alkyl 2-acylglycerol 3-phosphocholine	C9H18NO7PRRC2H4	0.0	second R is from alcohol	ak2gchol_hs	1-Radyl-2-acyl-sn-glycero-3-phosphocholine, 1-Organyl-2-acyl-sn-glycero-3-phosphocholine, 2-Acyl-1-alkyl-sn-glycero-3-phosphocholine
C03069	3mb2coa	3-Methylbut-2-enoyl-CoA	C26H38N7O17P3S	-4	BiGG compound	3mb2coa	3-Methylcrotonyl-CoA, 3-Methylcrotonoyl-CoA, Dimethylacryloyl-CoA
C05356	5HPET	"5-Hydroperoxy-6-trans-8,11,14-cis-eicosatetraenoate"	C20H31O4	-1	BiGG compound	5HPET	5(S)-HPETE, 5(S)-Hydroperoxy-6-trans-8,11,14-cis-eicosatetraenoic acid, (6E,8Z,11Z,14Z)-(5S)-5-Hydroperoxyeicosa-6,8,11,14-tetraenoate, (6E,8Z,11Z,14Z)-(5S)-5-Hydroperoxyeicosa-6,8,11,14-tetraenoic acid, (5S,6E,8Z,11Z,14Z)-5-Hydroperoxyicosa-6,8,11,14-tetraenoate
C00089	sucr	Sucrose	C12H22O11	0	BiGG compound	sucr	Cane sugar, Saccharose, 1-alpha-D-Glucopyranosyl-2-beta-D-fructofuranoside
C00156	4hbz	4-Hydroxybenzoate	C7H5O3	-1	BiGG compound	4hbz	Hydroxybenzoic acid, 4-Hydroxybenzoic acid, Hydroxybenzenecarboxylic acid
C15670	hemea	heme A	C49H54FeN4O6	0.0	charge based on the heme convention used (see C00126)	hemeA_#1	
C15672	hemeo	heme O	C49H56FeN4O5	0.0	charge based on the heme convention used (see C00126)	hemeo	
C00131	datp	dATP	C10H12N5O12P3	-4	BiGG compound	datp	2'-Deoxyadenosine 5'-triphosphate, Deoxyadenosine 5'-triphosphate, Deoxyadenosine triphosphate
C00996	ficytb	Ferricytochrome b5	X	0.0	based on R00100; charge is assumed and is not important as long as ficytb and focytb are of the same charge. | Reaction for electron accepting is : 2XH --> 2X + 2e + 2H+ ; consistent with R00100		
C00042	succ	Succinate	C4H4O4	-2	BiGG compound	succ	Succinic acid, Butanedionic acid, Ethylenesuccinic acid
C00136	btcoa	Butanoyl-CoA	C25H38N7O17P3S	-4	BiGG compound	btcoa	Butyryl-CoA
C05267	3oocoa	3-Oxooctanoyl-CoA	C29H44N7O18P3S	-4	BiGG compound	3oocoa	
C01885	mag	monoacylglycerol 2 	C3H7O2FULLR4CO2	0.0	charge based on human version in BiGG	mag_hs	1-Acylglycerol, Glyceride, Monoglyceride, Monoacylglycerol, 1-Monoacylglycerol
C05455	xol7aone	7alpha-Hydroxycholest-4-en-3-one	C27H44O2	0	BiGG compound	xol7aone	
C05938	4hglusa	L-4-Hydroxyglutamate semialdehyde	C5H9NO4	0	BiGG compound	4hglusa	
C00559	dad-2	Deoxyadenosine	C10H13N5O3	0	BiGG compound	dad-2	2'-Deoxyadenosine
C02076	sedh	sedoheptulose	C7H14O7	0.0	charge is obvious based on general rules and similar compounds		D-altro-Heptulose, D-Sedoheptulose, Volemulose
CC0079	fa19c11	cis-11,12-methyleneoctadecanoic acid	C19H35O2	-1.0	charge is obvious based on general rules and similar compounds		
C00121	rib-D	D-Ribose	C5H10O5	0	BiGG compound	rib-D	
C03035	lnlncgcoa	gamma-linolenoyl-CoA	C39H60N7O17P3S	-4	BiGG compound	lnlncgcoa	
C00473	retinol	Retinol	C20H30O	0	BiGG compound	retinol	all-trans-Retinol, Vitamin A, Vitamin A1
C00125	ficytC	Ferricytochrome c	C42H42FeN8O8S2R4	1.0	charge changed from +3 to +1. BIGG charging convention seems to not take into account the carboxyl groups of porphyrin structure.  However, these have to be taken into account during cytochrome synthesis.  The adjusted charge convention is consistent with mass balance	ficytC	Cytochrome c3+
C01644	trnaile	tRNA(Ile)	ROH	0.0	tRNA formula in BiGG was modified for mass balance	trnaile	
C03508	2aobut	L-2-Amino-3-oxobutanoate	C4H7NO3	0	BiGG compound	2aobut	L-2-Amino-3-oxobutanoic acid, L-2-Amino-acetoacetate, (S)-2-Amino-3-oxobutanoic acid
C00486	bilirub	Bilirubin	C33H34N4O6	-2	BiGG compound	bilirub	
C02415	Nlys	Histone-L-Lysine	XC6H13N2O	1.0	based on peplys	peplys	
C00606	3sala	3-Sulfino-L-alanine	C3H5NO4S	-2	BiGG compound	3sala	L-Cysteinesulfinic acid, 3-Sulphino-L-alanine, 3-Sulfinoalanine
C00449	saccrp-L	L-Saccharopine	C11H19N2O6	-1	BiGG compound	saccrp-L	N6-(L-1,3-Dicarboxypropyl)-L-lysine, Saccharopine, N-[(S)-5-Amino-5-carboxypentyl]-L-glutamic acid
C00233	4mop	4-Methyl-2-oxopentanoate	C6H9O3	-1	BiGG compound	4mop	2-Oxoisocaproate
C06482	sectrna	L-Selenocysteinyl-tRNA(Sec)	C3H7NO2SeR	1.0	tRNA formula in BiGG was modified for mass balance	sectrna	
CC0153	Ntmelys	Histone N6,N6,N6-trimethyl-L-lysine	XC9H19N2O	1.0	formula and charge based on MetaCyc	Ntmelys	
C16163	strdnccoa	stearidonyl coenzyme A	C39H58N7O17P3S	-4	BiGG compound	strdnccoa	(6Z,9Z,12Z,15Z)-Octadecatetraenoyl-CoA, Stearidonoyl-CoA
C00353	ttc-ggdp	"trans,trans,cis-Geranylgeranyl diphosphate"	C20H33O7P2	-3	BiGG compound	ttc-ggdp	Geranylgeranyl diphosphate, Geranylgeranyl pyrophosphate, all-trans-Geranylgeranyl diphosphate, all-trans-Geranylgeranyl pyrophosphate, (2E,6E,10E)-3,7,11,15-Tetramethylhexadeca-2,6,10,14-tetraen-1-yl diphosphate
C00275	man6p	D-Mannose 6-phosphate	C6H11O9P	-2	BiGG compound	man6p	
C01137	ametam	S-Adenosylmethioninamine	C14H24N6O3S	2	BiGG compound	ametam	(5-Deoxy-5-adenosyl)(3-aminopropyl)methylsulfonium, (5-Deoxy-5-adenosyl)(3-aminopropyl)methylsulfonium cation, S-Adenosyl-(5')-3-methylthiopropylamine, S-Adenosyl 3-(methylthio)propylamine, Decarboxy-AdoMet
CC0145	pcollg_mod	Procollagen (modified protein)	X	0.0	charge does not matter		
C05275	dc2coa	trans-Dec-2-enoyl-CoA	C31H48N7O17P3S	-4	BiGG compound	dc2coa	(2E)-Decenoyl-CoA
C14180	hmgth	hydroxymethylglutathione	C11H18N3O7S	-1	BiGG compound	hmgth	S-(Hydroxymethyl)glutathione
C04230	lpchol	Lysophosphatidylcholine	C8H19NO5PFULLRCO2	0.0	charge is based on matching BiGG compounds	lpchol_hs	1-Acyl-sn-glycero-3-phosphocholine, 1-Acyl-sn-glycerol-3-phosphocholine, alpha-Acylglycerophosphocholine, 2-Lysolecithin, 2-Lysophosphatidylcholine, 1-Acylglycerophosphocholine
C04475	akac2gpe	1-alkyl 2-acylglycerol 3-phosphoethanolamine	C6H12O7NPRRC2H4	0.0	second R is from alcohol	ak2gpe_hs	1-Alkyl-2-acylglycerophosphoethanolamine, 1-Radyl-2-acyl-sn-glycero-3-phosphoethanolamine, 1-Organyl-2-acyl-sn-glycero-3-phosphoethanolamine, O-1-Alkyl-2-acyl-sn-glycero-3-phosphoethanolamine, 2-Acyl-1-alkyl-sn-glycero-3-phosphoethanolamine
C01653	trnaval	tRNA(Val)	ROH	0.0	tRNA formula in BiGG was modified for mass balance	trnaval	
C00081	itp	ITP	C10H11N4O14P3	-4	BiGG compound	itp	Inosine 5'-triphosphate, Inosine triphosphate, Inosine tripolyphosphate
C05924	molybd	Molybdopterin	C10H11N5O6PS2	-3.0	charge beased on MetaCyc and 3DMET		Pyranopterin, H2Dtpp-mP
CC0204	dhcrm_ce	dihydroceramide 	C19H40NO2FULLRCO	0.0	charge based on human version in BiGG	dhcrm_hs	
C03715	akdhap	Alkyl-glycerone 3-phosphate	C3H4O6PRC2H4	-2.0	charge based on human version in BiGG		O-Alkylglycerone phosphate, Dihydroxyacetone phosphate alkyl ether
C00185	clb	Cellobiose	C12H22O11	0.0	charge is obvious based on general rules and similar compounds		1-beta-D-Glucopyranosyl-4-D-glucopyranose
C00044	gtp	GTP	C10H12N5O14P3	-4	BiGG compound	gtp	Guanosine 5'-triphosphate
C00130	imp	IMP	C10H11N4O8P	-2	BiGG compound	imp	Inosinic acid, Inosine monophosphate, Inosine 5'-monophosphate, Inosine 5'-phosphate, 5'-Inosinate, 5'-Inosinic acid, 5'-Inosine monophosphate, 5'-IMP
C03402	asntrna	L-Asparaginyl-tRNA(Asn)	C4H8N2O3R	1.0	tRNA formula in BiGG was modified for mass balance	asntrna	Asn-tRNA(Asn), Asparaginyl-tRNA(Asn)
C01272	mi1345p	"1D-myo-Inositol 1,3,4,5-tetrakisphosphate"	C6H8O18P4	-8	BiGG compound	mi1345p	1D-myo-Inositol 1,3,4,5-tetrakisphosphate, D-myo-Inositol 1,3,4,5-tetrakisphosphate, Inositol 1,3,4,5-tetrakisphosphate
C00643	5htrp	5-Hydroxy-L-tryptophan	C11H12N2O3	0	BiGG compound	5htrp	Oxitriptan
C00882	dpcoa	Dephospho-CoA	C21H33N7O13P2S	-2	BiGG compound	dpcoa	Dephosphocoenzyme A, 3'-Dephospho-CoA
C01762	xtsn	Xanthosine	C10H12N4O6	0	BiGG compound	xtsn	
C03090	pram	5-Phospho-beta-D-ribosylamine	C5H11NO7P	-1	BiGG compound	pram	5-Phosphoribosylamine, 5-Phospho-D-ribosylamine, 5-Phosphoribosyl-1-amine
C01645	trnaleu	tRNA(Leu)	ROH	0.0	tRNA formula in BiGG was modified for mass balance	trnaleu	
C00078	trp-L	L-Tryptophan	C11H12N2O2	0	BiGG compound	trp-L	Tryptophan, (S)-alpha-Amino-beta-(3-indolyl)-propionic acid
C00029	udpg	UDPglucose	C15H22N2O17P2	-2	BiGG compound	udpg	UDP-glucose, UDP-D-glucose, Uridine diphosphate glucose, UDP-alpha-D-glucose
C00004	nadh	Nicotinamide adenine dinucleotide - reduced	C21H27N7O14P2	-2	BiGG compound	nadh	NADH, DPNH, Reduced nicotinamide adenine dinucleotide
C02700	Lfmkynr	L-Formylkynurenine	C11H12N2O4	0	BiGG compound	Lfmkynr	N-Formyl-L-kynurenine, N-Formylkynurenine
C00242	gua	Guanine	C5H5N5O	0	BiGG compound	gua	2-Amino-6-hydroxypurine
C05528	3spyr	3-Sulfopyruvate	C3H2O6S	-2	BiGG compound	3spyr	3-Sulfopyruvic acid
C00126	focytC	Ferrocytochrome C	C42H42FeN8O8S2R4	0.0	charge changed from +2 to 0. BIGG charging convention seems to not take into account the carboxyl groups of porphyrin structure.  However, these have to be taken into account during cytochrome synthesis.  The adjusted charge convention is consistent with mass balance	focytC	Cytochrome c2+, Reduced cytochrome c
C00390	qh2	Ubiquinol	C14H20O4	0	BiGG compound	qh2	QH2, CoQH2
C00079	phe-L	L-Phenylalanine	C9H11NO2	0	BiGG compound	phe-L	(S)-alpha-Amino-beta-phenylpropionic acid
C00006	nadp	Nicotinamide adenine dinucleotide phosphate	C21H25N7O17P3	-3	BiGG compound	nadp	NADP+, NADP, beta-Nicotinamide adenine dinucleotide phosphate, TPN, Triphosphopyridine nucleotide, beta-NADP+
C01635	trnaala	tRNA(Ala)	ROH	0.0	tRNA formula in BiGG was modified for mass balance	trnaala	
C00886	alatrna	L-Alanyl-tRNA(Ala)	C3H7NO2R	1.0	tRNA formula in BiGG was modified for mass balance	alatrna	L-Alanyl-tRNA
C03201	akac2g	1-alkyl 2-acylglycerol	C4H6O4RRC2H4	0.0	charge based on human version in BiGG	ak2g_hs	1-Alkyl-2-acylglycerol, 2-Acyl-1-alkyl-sn-glycerol
C01211	pcollg5hlys	Procollagen 5-hydroxy-L-lysine	XHO	1.0	formula is adjusted to CEL model; charge is according to MetaCyc	pcollg5hlys	Procollagen L-erythro-5-hydroxylysine
C03455	retpalm-cis-11	11-cis-Retinyl palmitate	C36H60O2	0.0	charge based on 11-cis-retfa in BIGG		
C01252	4aphdob	"4-(2-Aminophenyl)-2,4-dioxobutanoate"	C10H8NO4	-1	BiGG compound	4aphdob	4-(2-Aminophenyl)-2,4-dioxobutanoate
C05446	xoltetrol	"3alpha,7alpha,12alpha,26-Tetrahydroxy-5beta-cholestane"	C27H48O4	0	BiGG compound	xoltetrol	3alpha,7alpha,12alpha,26-Tetrahydroxy-5beta-cholestane, 5beta-Cholestane-3alpha,7alpha,12alpha,26-tetraol, 5beta-Cholestane-3alpha,7alpha,12alpha,26-tetrol
C04376	fgam	N2-Formyl-N1-(5-phospho-D-ribosyl)glycinamide	C8H13N2O9P	-2	BiGG compound	fgam	5'-Phosphoribosyl-N-formylglycinamide, N-Formyl-GAR, N-Formylglycinamide ribonucleotide
C00999	focytb	Ferrocytochrome b5	XH	0.0	based on R00100; charge is assumed and is not important as long as ficytb and focytb are of the same charge. | Reaction for electron accepting is : 2XH --> 2X + 2e + 2H+ ; consistent with R00100		
C00159	man	D-Mannose	C6H12O6	0	BiGG compound	man	Mannose, Seminose, Carubinose
C01060	35diotyr	"3,5-Diiodo-L-tyrosine"	C9H9I2NO3	0	BiGG compound	35diotyr	3,5-Diiodo-L-tyrosine, 3,5-Diiodotyrosine, L-Diiodotyrosine
C00103	g1p	D-Glucose 1-phosphate	C6H11O9P	-2	BiGG compound	g1p	alpha-D-Glucose 1-phosphate, Cori ester, D-Glucose alpha-1-phosphate
CC0210	sphs1p_ce	Sphingosine 1-phosphate	C19H39NO5P	-1.0	charge based on matching BiGG compound	sphs1p	
C00584	prostge2	Prostaglandin E2	C20H31O5	-1	BiGG compound	prostge2	(5Z,13E)-(15S)-11alpha,15-Dihydroxy-9-oxoprosta-5,13-dienoate, (5Z,13E)-(15S)-11alpha,15-Dihydroxy-9-oxoprost-13-enoate, Dinoprostone, PGE2
C04248	gpail	D-glucosaminylphosphatidylinositol	C15H28NO13PFULLRCO2FULLR2CO2	0.0	charge based on human version in BiGG	gpail_hs	6-(alpha-D-Glucosaminyl)-1-phosphatidyl-1D-myo-inositol
C04438	acg3pe	1-Acyl-sn-glycero-3-phosphoethanolamine;2-Acyl-sn-glycero-3-phosphoethanolamine	C6H13NO7PR	0.0	charge is obvious based on general rules and similar compounds		1-Acyl-sn-glycero-3-phosphoethanolamine, L-2-Lysophosphatidylethanolamine
CC0018	protSgerCmet	Protein C-terminal S-geranylgeranyl-L-cysteine methyl ester	C26H43N2O3SR(C2H2NOR)n	0.0	(C2H2NOR)n represents the repetitive peptide; the sign would depend on the protein but taken zero by convention		
C01613	stachyose	Stachyose	C24H42O21	0.0	change and formula based on MetaCyc		
C18125	acg3ps	1-Acyl-sn-glycero-3-phosphoserine	C7H12NO9PR	-1.0	charge is obvious based on general rules and similar compounds		
C05984	2hb	2-Hydroxybutyrate	C4H7O3	-1	BiGG compound	2hb	2-Hydroxybutanoic acid, 2-Hydroxybutyric acid
CC0038	nm3masn	M4Gn3	C48H80N3O35X	0.0	named according to PMID: 12603202 		
C02918	1mncam	1-Methylnicotinamide	C7H9N2O	1	BiGG compound	1mncam	N(1)-Methylnicotinamide
CC0211	sphings_ce	Sphingosine	C19H40NO2	1.0	charge based on matching BiGG compound	sphings	
C00097	cys-L	L-Cysteine	C3H7NO2S	0	BiGG compound	cys-L	L-2-Amino-3-mercaptopropionic acid
C00219	arachd	arachidonic acid	C20H31O2	-1	BiGG compound	arachd	Arachidonate, (5Z,8Z,11Z,14Z)-Icosatetraenoic acid, cis-5,8,11,14-Eicosatetraenoic acid
C00909	leuktrA4	Leukotriene A4	C20H29O3	-1	BiGG compound	leuktrA4	LTA4, (7E,9E,11Z,14Z)-(5S,6S)-5,6-Epoxyeicosa-7,9,11,14-tetraenoic acid, (7E,9E,11Z,14Z)-(5S,6S)-5,6-Epoxyeicosa-7,9,11,14-tetraenoate, (7E,9E,11Z,14Z)-(5S,6S)-5,6-Epoxyicosa-7,9,11,14-tetraenoate, (5S,6S,7E,9E,11Z,14Z)-5,6-Epoxyicosa-7,9,11,14-tetraenoate
C17343	cholcoas	"3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestanoyl-CoA(S)"	C48H76N7O20P3S	-4	BiGG compound	cholcoas	(25S)-3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestan-26-oyl-CoA
C15613	cholcoar	"3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestanoyl-CoA"	C48H76N7O20P3S	-4	BiGG compound	cholcoar	(25R)-3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestan-26-oyl-CoA
C00475	cytd	Cytidine	C9H13N3O5	0	BiGG compound	cytd	
C00155	hcys-L	L-Homocysteine	C4H9NO2S	0	BiGG compound	hcys-L	L-2-Amino-4-mercaptobutyric acid, Homocysteine
C01177	mi1p-D	1D-myo-Inositol 1-phosphate	C6H11O9P	-2	BiGG compound	mi1p-D	Inositol 1-phosphate, myo-Inositol 1-phosphate, D-myo-Inositol 1-phosphate, 1D-myo-Inositol 1-monophosphate
C00232	sucsal	Succinic semialdehyde	C4H5O3	-1	BiGG compound	sucsal	Succinate semialdehyde, 4-Oxobutanoate
C05668	3hpcoa	3-Hydroxypropionyl-CoA	C24H36N7O18P3S	-4	BiGG compound	3hpcoa	3-Hydroxypropionyl coenzyme A, 3-Hydroxypropanoyl-CoA, 3-Hydroxypropanoyl coenzymeA, beta-Hydroxypropionyl-CoA
C00527	glutcoa	Glutaryl-CoA	C26H37N7O19P3S	-5	BiGG compound	glutcoa	
C00032	pheme	Protoheme	C34H30FeN4O4	0.0	charge changed from -2 to 0. BIGG charging convention seems to not take into account the carboxyl groups of porphyrin structure.  However, these have to be taken into account during cytochrome synthesis.  The adjusted charge convention is consistent with mass balance.  	pheme	Heme, Haem, Heme B, Protoheme IX
C00780	srtn	Serotonin	C10H13N2O	1	BiGG compound	srtn	3-(2-Aminoethyl)-1H-indol-5-ol, 5-Hydroxytryptamine, Enteramine
C04853	leuktrB4woh	w-hydroxyl leukotriene B4	C20H31O5	-1	BiGG compound	leuktrB4woh	20-OH-Leukotriene B4, 20-OH-LTB4, 20-Hydroxy-leukotriene B4, (6Z,8E,10E,14Z)-(5S,12R)-5,12,20-Trihydroxyeicosa-6,8,10,14-tetraenoate, (6Z,8E,10E,14Z)-(5S,12R)-5,12,20-Trihydroxyicosa-6,8,10,14-tetraenoate
C05841	nicrns	Nicotinate D-ribonucleoside	C11H13NO6	0	BiGG compound	nicrns	beta-D-Ribosylnicotinate
C20120	protSfar	S-Farnesyl protein	C20H33N2O3SR(C2H2NOR)n(C2H2NOR)n	0.0	formula adjusted to a system where peptide account is consistent with reaction balancing; (C2H2NOR)n represents the repetitive peptide, first group in the C terminal, second in the N terminal; the sign would depend on the protein but taken zero by convention		S-Farnesyl protein C-terminal CAAX
C05272	hdd2coa	trans-Hexadec-2-enoyl-CoA	C37H60N7O17P3S	-4	BiGG compound	hdd2coa	trans-2-Hexadecenoyl-CoA, (2E)-Hexadecenoyl-CoA
C02051	lpro	Lipoylprotein	S2X	0	BiGG compound	lpro	H-Protein-lipoyllysine
C05945	argp	L-Arginine phosphate	C6H14N4O5P	-1.0	BiGG compound		N5-[Imino(phosphonoamino)methyl]L-ornithine, omega-N-Phosphoarginine, Arginine phosphate, L-Arginine-NG-phosphoric acid, Phosphoarginine A, N-Phospho-L-arginine, N(omega)-Phospho-L-arginine, Phosphoarginine
C05823	mercplac	3-Mercaptolactate	C3H5O3S	-1	BiGG compound	mercplac	L-3-Mercaptolactate, (R)-3-Mercaptolactate
C00077	orn	Ornithine	C5H13N2O2	1	BiGG compound	orn	L-Ornithine, (S)-2,5-Diaminovaleric acid, (S)-2,5-Diaminopentanoic acid, (S)-2,5-Diaminopentanoate
C02094	caro	beta-Carotene	C40H56	0	BiGG compound	caro	all-trans-beta-Carotene
C00437	acorn	N2-Acetyl-L-ornithine	C7H14N2O3	0	BiGG compound	acorn	N-Acetylornithine
C00534	pydam	Pyridoxamine	C8H13N2O2	1	BiGG compound	pydam	PM
C05460	cholcoads	"3alpha,7alpha,12alpha-Trihydroxy-5beta-cholest-24-enoyl-CoA"	C48H74N7O20P3S	-4	BiGG compound	cholcoads	3alpha,7alpha,12alpha-Trihydroxy-5beta-cholest-24-enoyl-CoA
C00519	hyptaur	Hypotaurine	C2H6NO2S	-1	BiGG compound	hyptaur	2-Aminoethanesulfinic acid
C03885	3nphb	3-Nonaprenyl-4-hydroxybenzoate	C52H77O3	-1.0	charge based on 3ocphb and 3dphb in BIGG		Nonaprenyl-4-hydroxybenzoate
C00181	xyl-D	D-Xylose	C5H10O5	0	BiGG compound	xyl-D	Wood sugar
CC0122	Rtotal7	R total 7	C2H2O2R	-1.0	R group starts from third carbon to satisfy mass balance with the convention used in ether-lipid metabolism	Rtotal,Rtotal2,Rtotal3	
CC0133	Rtotal6	R total 6	CO2R	-1.0	charge is based on matching BiGG compounds	Rtotal,Rtotal2,Rtotal3	
CC0085	Rtotal5	R total 5 position	CO2FULLR5	-1.0	charge is based on matching BiGG compounds	Rtotal,Rtotal2,Rtotal3	
CC0083	Rtotal4	R total 4 position	CO2FULLR4	-1.0	charge is based on matching BiGG compounds	Rtotal,Rtotal2,Rtotal3	
CC0087	Rtotal3	R total 3 position	CO2FULLR3	-1.0	charge is based on matching BiGG compounds	Rtotal,Rtotal2,Rtotal3	
CC0001	Rtotal2	R total 2 position	CO2FULLR2	-1.0	charge is based on matching BiGG compounds	Rtotal,Rtotal2,Rtotal3	
C00957	mercppyr	Mercaptopyruvate	C3H3O3S	-1	BiGG compound	mercppyr	3-Mercaptopyruvic acid, 3-Mercaptopyruvate
C18126	lpglyc	1-Acyl-sn-glycero-3-phosphoglycerol	C7H13O9PR	-1.0	charge is obvious based on general rules and similar compounds	2agpg181,2agpg180,2agpg161,2agpg160,2agpg141,2agpg140,2agpg120,1agpg181,1agpg180,1agpg161,1agpg160,1agpg141,1agpg140,1agpg120,agpg_EC,1glyc_hs	
C04501	acgam1p	N-Acetyl-D-glucosamine 1-phosphate	C8H14NO9P	-2	BiGG compound	acgam1p	N-Acetyl-alpha-D-glucosamine 1-phosphate
C15610	xol27oh	27-Hydroxycholesterol	C27H46O2	0	BiGG compound	xol27oh	Cholest-5-ene-3beta,26-diol, Cholest-5-ene-3beta,27-diol, 26-Hydroxycholesterol
C00002	atp	ATP	C10H12N5O13P3	-4	BiGG compound	atp	Adenosine 5'-triphosphate
C05260	3htdcoa	(S)-3-Hydroxytetradecanoyl-CoA	C35H58N7O18P3S	-4	BiGG compound	3htdcoa	
C06424	ttdca	tetradecanoate (n-C14:0)	C14H27O2	-1	BiGG compound	ttdca	Tetradecanoic acid, Tetradecanoate, Myristic acid
C00258	glyc-R	(R)-Glycerate	C3H5O4	-1	BiGG compound	glyc-R	D-Glycerate, Glycerate, Glyceric acid
C05947	e4hglu	L-erythro-4-Hydroxyglutamate	C5H8NO5	-1	BiGG compound	e4hglu	
C03125	cystrna	L-Cysteinyl-tRNA(Cys)	C3H7NO2SR	1.0	tRNA formula in BiGG was modified for mass balance	cystrna	
CC0049	polyadprib	poly adp ribose	C15H19N5O13P2	-2.0	formula of monomeric unit used; charge based on adprib		
CC0059	pg_BAC	Phosphatidylglycerol (bacteria)	C8H12O10PR2	-1.0	charge is based on matching BiGG compounds	pglyc_hs,pg190,pg181,pg180,pg161,pg160190,pg160,pg141,pg140,pg120,pg_SA,pg_EC,pg_HP,pg_SC	
CC0080	pa_tag	Phosphatidic acid (TAG)	C3H5O4PFULLR4CO2FULLR5CO2	-2.0	charge based on human version in BiGG	pa_hs,pa_Hp	
C05688	selcys	Selenocysteine	C3H7NO2Se	0	BiGG compound	selcys	L-Selenocysteine
CC0137	ISclustprot	Iron-sulfur cluster protein	XFe2S2	6.0	represents general iron-sulfur cluster protein with the cluster loaded. | Charge unknown, arbitrarily set at 6 to warrant mass balance with relative charges		
C03892	pgp	phosphatidyl glycerol phosphate 	C6H11O9P2FULLRCO2FULLR2CO2	-3.0	charge based on human version in BiGG	pgp_hs	Phosphatidylglycerophosphate, 3(3-sn-Phosphatidyl)-sn-glycerol 1-phosphate, 3(3-Phosphatidyl-)L-glycerol 1-phosphate, 1,2-Diacyl-sn-glycero-3-phospho-sn-glycerol 3'-phosphate
CC0123	Rtotal6coa	R total 6 Coenzyme A	CO2RC21H31N7O15P3S	-4.0	charge is based on matching BiGG compounds	Rtotalcoa,Rtotal2coa,Rtotal3coa,acoa	
