	TAG	ID	KEGGID	EC	BIGG	KEGG	GENES	PATHWAY
RC09319	r	RC09319	R09319	2.4.1.68	[g] : gdpfuc + nm2masn --> fnm2masn + gdp + h	C00325 + CC0034 --> CC0041 + C00035 + C00080	fut-8	N-Glycan biosynthesis
RCC0042	r	RCC0042	RCC0042	3.2.1.52	[g] : fnm2masn + h2o --> fm2masn + acgam	CC0041 + C00001 --> CC0042 + C00140	hex-2 | hex-3 | hex-4 | hex-5	N-Glycan biosynthesis
RC01384	r	RC01384	R01384	4.1.1.35	[g] : h + udpglcur --> co2 + udpxyl	C00080 + C00167 --> C00011 + C00190	sqv-1	Starch and sucrose metabolism
RC00306	r	RC00306	R00306	3.2.1.21	clb + h2o --> (2) glc-D	C00185 + C00001 --> (2) C00031	klo-1 | klo-2	Starch and sucrose metabolism
RC03681	r	RC03681	R03681;R00292	2.4.1.186;2.4.1.11	[c] : udpg --> nbglycogen + h + udp	C00029 --> CC0045 + C00080 + C00015	(gyg-1 | gyg-2) & gsy-1	Starch and sucrose metabolism
RC02110	r	RC02110	R02110	2.4.1.18	[c] : nbglycogen --> glycogen	CC0045 --> C00182	T04A8.7	Starch and sucrose metabolism
RCC0043	r	RCC0043	R01821	2.4.1.1	[c] : glycogen + (0.5) pi --> (0.5) g1p + (0.5) dxtrn1	C00182 + (0.5) C00009 --> (0.5) C00103 + (0.5) CC0046	T22F3.3	Starch and sucrose metabolism
RCC0044	r	RCC0044	RCC0044	2.4.1.25	[c] : dxtrn1 --> dxtrn2	CC0046 --> CC0047	agl-1	Starch and sucrose metabolism
RCC0045	r	RCC0045	RCC0045	3.2.1.33	[c] : dxtrn2 + (0.2) h2o --> (0.2) glc-D-B + (0.8) dxtrn3	CC0047 + (0.2) C00001 --> (0.2) C00221 + (0.8) CC0048	agl-1	Starch and sucrose metabolism
RCC0046	r	RCC0046	RCC0046	2.4.1.1	[c] : dxtrn3 + pi --> g1p	CC0048 + C00009 --> C00103	T22F3.3	Starch and sucrose metabolism
RC00028	r	RC00028	R00028	3.2.1.20	[c] : h2o + malt --> (2) glc-D-A	C00001 + C00208 --> (2) C00267	aagr-1 | aagr-2	Starch and sucrose metabolism
RC00010	r	RC00010	R00010	3.2.1.28	[c] : h2o + tre --> (2) glc-D	C00001 + C01083 --> (2) C00031	tre-1 | tre-2 | tre-3 | tre-4 | tre-5	Starch and sucrose metabolism
RC02737	r	RC02737	R02737	2.4.1.15	[c] : g6p-A + udpg --> h + tre6p + udp	C00668 + C00029 --> C00080 + C00689 + C00015	tps-1 | tps-2	Starch and sucrose metabolism
RC02778	r	RC02778	R02778	3.1.3.12	[c] : h2o + tre6p --> pi + tre	C00001 + C00689 --> C00009 + C01083	gob-1	Starch and sucrose metabolism
RC08734	r	RC08734	R08734	5.1.99.4	[r] : cholcoar <==> cholcoas	C15613 <==> C17343	C24A3.4 | ZK892.4	Primary bile acid biosynthesis
RC08735	r	RC08735	R08735	1.17.99.3	[x] : cholcoas + o2 --> cholcoads + h2o2	C17343 + C00007 --> C05460 + C00027	acox-1.1 | acox-1.2 | acox-1.3  | acox-1.4  | acox-1.6  | acox-1.5 	Primary bile acid biosynthesis
RCC0050	r	RCC0050	R04813;R04812	4.2.1.107;1.1.1.35	[x] : cholcoads + h2o + nad <==> cholcoaone + nadh + h	C05460 + C00001 + C00003 <==> C05467 + C00004 + C00080	dhs-25 | dhs-28 | maoc-1	Primary bile acid biosynthesis
RC03719	r	RC03719	R03719	2.3.1.176	[x] : cholcoaone + coa --> cholcoa + ppcoa	C05467 + C00010 --> C01794 + C00100	(daf-22 | nlt-1)	Primary bile acid biosynthesis
RC07296	r	RC07296	R07296	3.1.2.27	cholcoa + h2o --> cholate + coa + h	C01794 + C00001 --> C00695 + C00010 + C00080	F25E2.3	Primary bile acid biosynthesis
RC03718	r	RC03718	R03718	2.3.1.65	[x] : cholcoa + gly --> coa + gchola	C01794 + C00037 --> C00010 + C01921	C31H5.6 | W03D8.8 | T05E7.1 | K05B2.4	Primary bile acid biosynthesis
RC03720	r	RC03720	R03720	2.3.1.65	[x] : cholcoa + taur --> coa + tchola	C01794 + C00245 --> C00010 + C05122	C31H5.6 | W03D8.8 | T05E7.1 | K05B2.4	Primary bile acid biosynthesis
RC04824	r	RC04824	R04824	1.1.1.50	[c] : h + nadh + xoldioloneh <==> nad + xoltriol	C00080 + C00004 + C05453 <==> C00003 + C05454	Y39G8B.1 | T08H10.1 | C07D8.6 | ZC443.1 | Y39G8B.2 | F53F1.3 | F53F1.2	Primary bile acid biosynthesis
RC08733	r	RC08733	R08733	6.2.1.7	[x] : atp + coa + thcholstoic --> amp + cholcoar + ppi	C00002 + C00010 + C04722 --> C00020 + C15613 + C00013	acs-20 | acs-22	Primary bile acid biosynthesis
RM08761	r	RM08761	R08761	1.14.13.15	[m] : nadph + o2 + thcholst --> h2o + nadp + thcholstoic	M00005 + M00007 + M01301 --> M00001 + M00006 + M04722	daf-9	Primary bile acid biosynthesis
RM08759	r	RM08759	R08759	1.14.13.15	[m] : nadp + xoltetrol <==> h + nadph + thcholst	M00006 + M05446 <==> M00080 + M00005 + M01301	daf-9	Primary bile acid biosynthesis
RM04807	r	RM04807	R04807	1.14.13.15	[m] : h + nadph + o2 + xoltriol --> h2o + nadp + xoltetrol	M00080 + M00005 + M00007 + M05454 --> M00001 + M00006 + M05446	daf-9	Primary bile acid biosynthesis
RC04823	r	RC04823	R04823	1.3.1.3	[c] : h + nadph + xoldiolone --> nadp + xoldioloneh	C00080 + C00005 + C17339 --> C00006 + C05453	Y39G8B.1 | T08H10.1 | C07D8.6 | ZC443.1 | Y39G8B.2 | F53F1.3 | F53F1.2	Primary bile acid biosynthesis
RC04826	r	RC04826	R04826	1.14.13.95	[r] : h + nadph + o2 + xol7aone --> h2o + nadp + xoldiolone	C00080 + C00005 + C00007 + C05455 --> C00001 + C00006 + C17339	TBD	Primary bile acid biosynthesis
RC04262	r	RC04262	R04263	1.1.1.181	[r] : nad + xol7a <==> h + nadh + xol7aone	C00003 + C03594 <==> C00080 + C00004 + C05455	hsd-1 | hsd-2 | hsd-3	Primary bile acid biosynthesis
RC01463	r	RC01463	R01463	1.14.13.17	[r] : chsterol + h + nadph + o2 --> h2o + nadp + xol7a	C00187 + C00080 + C00005 + C00007 --> C00001 + C00006 + C03594	TBD	Primary bile acid biosynthesis
RC07218	r	RC07218	R07218	1.14.99.38	[r] : chsterol + h + nadph + o2 --> h2o + nadp + xol25oh	C00187 + C00080 + C00005 + C00007 --> C00001 + C00006 + C15519	F35C8.5	Primary bile acid biosynthesis
RC07209	r	RC07209	R07209	1.14.13.100	[r] : h + nadph + o2 + xol25oh --> h2o + nadp + xoltri25	C00080 + C00005 + C00007 + C15519 --> C00001 + C00006 + C15520	TBD	Primary bile acid biosynthesis
RC08723	r	RC08723	R08723	1.1.1.181	[r] : xoltri25 + nad <==> xol25one + nadh + h	C15520 + C00003 <==> C17332 + C00004 + C00080	hsd-1 | hsd-2 | hsd-3	Primary bile acid biosynthesis
RM08505	r	RM08505	R08505	1.14.13.15	[m] : chsterol + h + nadph + o2 --> h2o + nadp + xol27oh	M00187 + M00080 + M00005 + M00007 --> M00001 + M00006 + M15610	daf-9	Primary bile acid biosynthesis
RC07372	r	RC07372	R07372	1.14.13.100;1.14.13.17	[r] : h + nadph + o2 + xol27oh --> h2o + nadp + xoltri27	C00080 + C00005 + C00007 + C15610 --> C00001 + C00006 + C06341	TBD	Primary bile acid biosynthesis
RC08724	r	RC08724	R08724	1.1.1.181	[r] : nad + xoltri27 <==> h + nadh + xol27one	C00003 + C06341 <==> C00080 + C00004 + C17336	hsd-1 | hsd-2 | hsd-3	Primary bile acid biosynthesis
RC02294	r	RC02294	R02294	2.4.2.1	[c] : pi + rnam <==> h + ncam + r1p	C00009 + C03150 <==> C00080 + C00153 + C00620	K02D7.1	Nicotinate and nicotinamide metabolism
RC02295	r	RC02295	R02295	2.4.2.1	[c] : h + nac + r1p <==> nicrns + pi	C00080 + C00253 + C00620 <==> C05841 + C00009	K02D7.1	Nicotinate and nicotinamide metabolism
RC02323	r	RC02323	R02323	3.1.3.5	[c] : h2o + nmn --> rnam + pi	C00001 + C00455 --> C03150 + C00009	F25B5.3 | Y10G11A.1 | Y71H10B.1	Nicotinate and nicotinamide metabolism
RC03346	r	RC03346	R03346	3.1.3.5	[c] : h2o + nicrnt --> nicrns + pi	C00001 + C01185 --> C05841 + C00009	F25B5.3 | Y10G11A.1 | Y71H10B.1	Nicotinate and nicotinamide metabolism
RC01724	r	RC01724	R01724	6.3.4.21	[c] : h + nac + prpp <==> nicrnt + ppi	C00080 + C00253 + C00119 <==> C01185 + C00013	nprt-1	Nicotinate and nicotinamide metabolism
RC00137	r	RC00137	R00137	2.7.7.1;2.7.7.18	[c] : atp + h + nmn <==> nad + ppi	C00002 + C00080 + C00455 <==> C00003 + C00013	nmat-1 | nmat-2	Nicotinate and nicotinamide metabolism
RC03005	r	RC03005	R03005	2.7.7.1;2.7.7.18	[c] : atp + h + nicrnt <==> dnad + ppi	C00002 + C00080 + C01185 <==> C00857 + C00013	nmat-1 | nmat-2	Nicotinate and nicotinamide metabolism
RC00257	r	RC00257	R00257	6.3.5.1	[c] : atp + dnad + gln-L + h2o --> amp + glu-L + h + nad + ppi	C00002 + C00857 + C00064 + C00001 --> C00020 + C00025 + C00080 + C00003 + C00013	qns-1	Nicotinate and nicotinamide metabolism
RC01268	r	RC01268	R01268	3.5.1.19	[c] : h2o + ncam --> nac + nh4	C00001 + C00153 --> C00253 + C00014	pnc-1 | pnc-2	Nicotinate and nicotinamide metabolism
RC00102	r	RC00102	R00102	3.5.1.-	[c] : h2o + nad --> adprib + h + ncam	C00001 + C00003 --> C00301 + C00080 + C00153	sir-2.1 | sir-2.2 | sir-2.3 | sir-2.4	Nicotinate and nicotinamide metabolism
RC04176	r	RC04176	R04176	2.4.2.30	nad --> polyadprib + ncam + h	C00003 --> CC0049 + C00153 + C00080	parp-1 | parp-2 | tank-1	Nicotinate and nicotinamide metabolism
RCC0051	r	RCC0051	RCC0051	3.2.1.143	polyadprib + h2o --> adprib	CC0049 + C00001 --> C00301	parg-1 | parg-2	Nicotinate and nicotinamide metabolism
RC04230	r	RC04230	R04230	6.3.2.5	[c] : 4ppan + atp + cys-L --> 4ppcys + amp + h + ppi	C03492 + C00002 + C00097 --> C04352 + C00020 + C00080 + C00013	Y71H2AM.6	Pantothenate and CoA biosynthesis
RC04231	r	RC04231	R04231	6.3.2.5	[c] : 4ppan + ctp + cys-L --> 4ppcys + cmp + h + ppi	C03492 + C00063 + C00097 --> C04352 + C00055 + C00080 + C00013	Y71H2AM.6	Pantothenate and CoA biosynthesis
RC03018	r	RC03018	R03018	2.7.1.33	[c] : atp + pnto-R --> 4ppan + adp + h	C00002 + C00864 --> C03492 + C00008 + C00080	pnk-1 | pnk-4	Pantothenate and CoA biosynthesis
RC03269	r	RC03269	R03269	4.1.1.36	[c] : 4ppcys + h --> co2 + pan4p	C04352 + C00080 --> C00011 + C01134	F25H9.6	Pantothenate and CoA biosynthesis
RC00489	r	RC00489	R00489	4.1.1.15	[c] : asp-L + h --> ala-B + co2	C00049 + C00080 --> C00099 + C00011	unc-25	beta-Alanine metabolism
RC01819	r	RC01819	R01819	5.3.1.8	[c] : man6p <==> f6p	C00275 <==> C00085	C05C8.7 | ZK632.4	Fructose and mannose metabolism
RC01326	r	RC01326	R01326	2.7.1.1	[c] : atp + man --> adp + h + man6p	C00002 + C00159 --> C00008 + C00080 + C00275	hxk-1 | hxk-2 | hxk-3	Fructose and mannose metabolism
RC02731	r	RC02731	R02731	3.1.3.46	[c] : f26bp + h2o --> f6p + pi	C00665 + C00001 --> C00085 + C00009	pfkb-1.1 | pfkb-1.2	Fructose and mannose metabolism
RC00867	r	RC00867	R00867	2.7.1.1	[c] : atp + fru --> adp + f6p + h	C00002 + C00095 --> C00008 + C00085 + C00080	hxk-1 | hxk-2 | hxk-3	Fructose and mannose metabolism
RC00875	r	RC00875	R00875	1.1.1.14	[c] : nad + sbt-D <==> fru + h + nadh	C00003 + C00794 <==> C00095 + C00080 + C00004	R04B5.5 | R04B5.6	Fructose and mannose metabolism
RC01787	r	RC01787	R01787	1.1.1.21	[c] : glc-D + h + nadph <==> nadp + sbt-D	C00031 + C00080 + C00005 <==> C00006 + C00794	Y39G8B.1	Fructose and mannose metabolism
RC01818	r	RC01818	R01818	5.4.2.8	[c] : man1p <==> man6p	C00636 <==> C00275	F52B11.2	Fructose and mannose metabolism
RC00885	r	RC00885	R00885	2.7.7.13	[c] : gtp + h + man1p <==> gdpmann + ppi	C00044 + C00080 + C00636 <==> C00096 + C00013	tag-335 | Y47D9A.1	Fructose and mannose metabolism
RC00888	r	RC00888	R00888	4.2.1.47	[c] : gdpmann --> gdpddman + h2o	C00096 --> C01222 + C00001	bre-1 | gmd-2	Fructose and mannose metabolism
RC05692	r	RC05692	R05692	1.1.1.271	[c] : gdpddman + h + nadph <==> gdpfuc + nadp	C01222 + C00080 + C00005 <==> C00325 + C00006	ger-1	Fructose and mannose metabolism
RC02732	r	RC02732	R02732	2.7.1.105	[c] : atp + f6p --> adp + f26bp + h	C00002 + C00085 --> C00008 + C00665 + C00080	pfkb-1.2 | pfkb-1.1	Fructose and mannose metabolism
RC01092	r	RC01092	R01092	2.7.1.6	[c] : atp + gal --> adp + gal1p + h	C00002 + C00124 --> C00008 + C00446 + C00080	tag-96	Galactose metabolism
RC00955	r	RC00955	R00955	2.7.7.12	[c] : gal1p + udpg <==> g1p + udpgal	C00446 + C00029 <==> C00103 + C00052	ZK1058.3	Galactose metabolism
RC00289	r	RC00289	R00289	2.7.7.9	[c] : g1p + h + utp <==> ppi + udpg	C00103 + C00080 + C00075 <==> C00013 + C00029	D1005.2 | K08E3.5	Pentose and glucuronate interconversions
RC00291	r	RC00291	R00291	5.1.3.2	[c] : udpg <==> udpgal	C00029 <==> C00052	gale-1	Galactose metabolism
RC01093	r	RC01093	R01093	1.1.1.21	[c] : gal + h + nadh <==> galt + nad	C00124 + C00080 + C00004 <==> C01697 + C00003	Y39G8B.1	Galactose metabolism
RC01095	r	RC01095	R01095	1.1.1.21	[c] : gal + h + nadph <==> galt + nadp	C00124 + C00080 + C00005 <==> C01697 + C00006	Y39G8B.1	Galactose metabolism
RC00801	r	RC00801	R00801	3.2.1.20	[c] : h2o + sucr --> fru + glc-D	C00001 + C00089 --> C00095 + C00031	aagr-1 | aagr-2	Galactose metabolism
RC00286	r	RC00286	R00286	1.1.1.22	[c] : h2o + (2) nad + udpg --> (3) h + (2) nadh + udpglcur	C00001 + (2) C00003 + C00029 --> (3) C00080 + (2) C00004 + C00167	sqv-4	Pentose and glucuronate interconversions
RC01184	r	RC01184	R01184	1.13.99.1	[c] : inost + o2 --> glcur + h + h2o	C00137 + C00007 --> C00191 + C00080 + C00001	C54E4.5	Ascorbate and aldarate metabolism
RC02957	r	RC02957	R02957	1.2.1.3	[c] : glac + (2) h2o + nad <==> glcr + (3) h + nadh	C02670 + (2) C00001 + C00003 <==> C00818 + (3) C00080 + C00004	(alh-2 | alh-4) | alh-12	Ascorbate and aldarate metabolism
RC01483	r	RC01483	R01483	3.1.1.19	[r] : glcur + h <==> glac + h2o	C00191 + C00080 <==> C02670 + C00001	Unknown	Ascorbate and aldarate metabolism
RCC0053	r	RCC0053	R01383;R01478	2.4.1.17;3.2.1.31	[c] : h2o + udpglcur --> glcur + h + udp	C00001 + C00167 --> C00191 + C00080 + C00015	(C03A7.13 | C55H1.1 | F10D2.8 | F54C1.1 | H23N18.4 | K04A8.10 | ugt-1 | ugt-10 | ugt-11 | ugt-12 | ugt-13 | ugt-14 | ugt-15 | ugt-16 | ugt-17 | ugt-18 | ugt-19 | ugt-2 | ugt-20 | ugt-21 | ugt-22 | ugt-23 | ugt-24 | ugt-25 | ugt-26 | ugt-27 | ugt-29 | ugt-3 | ugt-30 | ugt-31 | ugt-32 | ugt-33 | ugt-34 | ugt-35 | ugt-36 | ugt-37 | ugt-38 | ugt-39 | ugt-4 | ugt-40 | ugt-41 | ugt-42 | ugt-43 | ugt-44 | ugt-45 | ugt-46 | ugt-47 | ugt-48 | ugt-49 | ugt-5 | ugt-50 | ugt-51 | ugt-52 | ugt-53 | ugt-54 | ugt-55 | ugt-56 | ugt-58 | ugt-59 | ugt-6 | ugt-60 | ugt-61 | ugt-62 | ugt-63 | ugt-64 | ugt-65 | ugt-7 | ugt-8 | ugt-9) & (Y105E8B.9)	Pentose and glucuronate interconversions
RC01904	r	RC01904	R01904	1.1.1.10	[c] : h + nadph + xylu-L <==> nadp + xylt	C00080 + C00005 + C00312 <==> C00006 + C00379	dhs-21	Pentose and glucuronate interconversions
RC01431	r	RC01431	R01431	1.1.1.21	[c] : h + nadph + xyl-D <==> nadp + xylt	C00080 + C00005 + C00181 <==> C00006 + C00379	Y39G8B.1	Pentose and glucuronate interconversions
RC01758	r	RC01758	R01758	1.1.1.21	[c] : arab-L + h + nadh <==> abt + nad	C00259 + C00080 + C00004 <==> C00532 + C00003	Y39G8B.1	Pentose and glucuronate interconversions
RC01759	r	RC01759	R01759	1.1.1.21	[c] : arab-L + h + nadph <==> abt + nadp	C00259 + C00080 + C00005 <==> C00532 + C00006	Y39G8B.1	Pentose and glucuronate interconversions
RC01639	r	RC01639	R01639	2.7.1.17	[c] : atp + xylu-D --> adp + h + xu5p-D	C00002 + C00310 --> C00008 + C00080 + C00231	R08D7.7	Pentose and glucuronate interconversions
RC02640	r	RC02640	R02640	1.1.1.45	[c] : guln + nad <==> 3dhguln + h + nadh	C00800 + C00003 <==> C00618 + C00080 + C00004	[(Y71F9B.9)]	Pentose and glucuronate interconversions
RC00765	r	RC00765	R00765	3.5.99.6	[c] : gam6p + h2o --> f6p + nh4	C00352 + C00001 --> C00085 + C00014	T03F6.3	Amino sugar and nucleotide sugar metabolism
RC01961	r	RC01961	R01961	2.7.1.1	[c] : atp + gam --> adp + gam6p + h	C00002 + C00329 --> C00008 + C00352 + C00080	hxk-1 | hxk-2 | hxk-3	Amino sugar and nucleotide sugar metabolism
RC02058	r	RC02058	R02058	2.3.1.4	[c] : accoa + gam6p --> acgam6p + coa + h	C00024 + C00352 --> C00357 + C00010 + C00080	gna-1 | gna-2	Amino sugar and nucleotide sugar metabolism
RC02059	r	RC02059	R02059	3.5.1.25	[c] : acgam6p + h2o --> ac + gam6p	C00357 + C00001 --> C00033 + C00352	F59B2.3	Amino sugar and nucleotide sugar metabolism
RC01201	r	RC01201	R01201	2.7.1.59	[c] : acgam + atp --> acgam6p + adp + h	C00140 + C00002 --> C00357 + C00008 + C00080	W06B4.2	Amino sugar and nucleotide sugar metabolism
RC00293	r	RC00293	R00293	4.2.1.76	udpg --> udp4k6dg + h2o	C00029 --> C04089 + C00001	C01F1.3	Amino sugar and nucleotide sugar metabolism
RC00100	r	RC00100	R00100	1.6.2.2	nadh + h + (2) ficytb <==> nad + (2) focytb	C00004 + C00080 + (2) C00996 <==> C00003 + (2) C00999	(T05H4.4 | hpo-19)	Miscellaneous
RC02335	r	RC02335	R02335	2.4.1.16	[c] : uacgam --> chitin + h + udp	C00043 --> C00461 + C00080 + C00015	chs-1 | chs-2	Amino sugar and nucleotide sugar metabolism
RC00416	r	RC00416	R00416	2.7.7.23	[c] : acgam1p + h + utp <==> ppi + uacgam	C04501 + C00080 + C00075 <==> C00013 + C00043	C36A4.4	Amino sugar and nucleotide sugar metabolism
RC08193	r	RC08193	R08193	5.4.2.3	[c] : acgam6p <==> acgam1p	C00357 <==> C04501	F21D5.1	Amino sugar and nucleotide sugar metabolism
RC01206	r	RC01206	R01206	3.2.1.14	[c] : chitin + h2o --> acgam	C00461 + C00001 --> C00140	C08B6.4 | R09D1.14 | R10D12.15 | T05H4.7 | T19H5.6 | T26F2.1 | chil-1 | chil-11 | chil-12 | chil-13 | chil-15 | chil-16 | chil-17 | chil-18 | chil-19 | chil-2 | chil-20 | chil-21 | chil-22 | chil-23 | chil-24 | chil-25 | chil-27 | chil-3 | chil-4 | chil-5 | chil-6 | chil-7 | chil-8 | chil-9 | cht-1 | cht-2 | cht-4 | lmd-4 | lmd-5	Amino sugar and nucleotide sugar metabolism
RC00475	r	RC00475	R00475	1.1.3.15	[c] : glyclt + o2 --> glx + h2o2	C00160 + C00007 --> C00048 + C00027	F41E6.5	Glyoxylate and dicarboxylate metabolism
RC07324	r	RC07324	R07324	5.5.1.4	[c] : g6p-A --> mi3p-D	C00668 --> C04006	inos-1	Inositol phosphate metabolism
RC01185	r	RC01185	R01185	3.1.3.25	[c] : h2o + mi1p-D --> inost + pi	C00001 + C01177 --> C00137 + C00009	(ttx-7 | gpap-1)	Inositol phosphate metabolism
RC01186	r	RC01186	R01186	3.1.3.25	[c] : h2o + mi4p-D --> inost + pi	C00001 + C03546 --> C00137 + C00009	(ttx-7 | gpap-1)	Inositol phosphate metabolism
RC01187	r	RC01187	R01187	3.1.3.25	[c] : h2o + mi3p-D --> inost + pi	C00001 + C04006 --> C00137 + C00009	(ttx-7 | gpap-1)	Inositol phosphate metabolism
RC03361	r	RC03361	R03361	2.7.1.67	[c] : atp + pail --> adp + h + pail4p	C00002 + C01194 --> C00008 + C00080 + C01277	(C56A3.8 | ZC8.6) | (Y75B8A.24 | pifk-1)	Inositol phosphate metabolism
RC03362	r	RC03362	R03362	2.7.1.137	[c] : atp + pail --> adp + h + pail3p	C00002 + C01194 --> C00008 + C00080 + C04549	vps-34	Inositol phosphate metabolism
RC05795	r	RC05795	R05795	2.7.1.154	[c] : atp + pail4p --> adp + h + pail34p	C00002 + C01277 --> C00008 + C00080 + C11554	piki-1	Inositol phosphate metabolism
RC03469	r	RC03469	R03469	2.7.1.68	[c] : atp + pail4p --> adp + h + pail45p	C00002 + C01277 --> C00008 + C00080 + C04637	ppk-1	Inositol phosphate metabolism
RC04404	r	RC04404	R04404	3.1.3.36	[c] : h2o + pail45p --> pail4p + pi	C00001 + C04637 --> C01277 + C00009	inpp-1 | ocrl-1 | unc-26	Inositol phosphate metabolism
RC05803	r	RC05803	R05803	2.7.1.149	[c] : atp + pail5p --> adp + h + pail45p	C00002 + C11557 --> C00008 + C00080 + C04637	ppk-2	Inositol phosphate metabolism
RC04545	r	RC04545	R04545	2.7.1.153	[c] : atp + pail45p --> adp + h + pail345p	C00002 + C04637 --> C00008 + C00080 + C05981	age-1 & aap-1	Inositol phosphate metabolism
RC03435	r	RC03435	R03435	3.1.4.11	[c] : h2o + pail45p --> dag_pl + h + mi145p	C00001 + C04637 --> C00641 + C00080 + C01245	plc-1 | plc-2 | plc-3 | plc-4 | egl-8	Inositol phosphate metabolism
RC03394	r	RC03394	R03394	3.1.3.56	[c] : h2o + mi145p --> mi14p + pi	C00001 + C01245 --> C01220 + C00009	C01B10.3 | ipp-5	Inositol phosphate metabolism
RC04513	r	RC04513	R04513	3.1.3.67	[c] : h2o + pail345p --> pail45p + pi	C00001 + C05981 --> C04637 + C00009	daf-18	Inositol phosphate metabolism
RC00602	r	RC00602	R00602	1.11.1.6;1.11.1.7	[c] : h2o2 + meoh --> fald + (2) h2o	C00027 + C00132 --> C00067 + (2) C00001	(ctl-1 | ctl-2 | ctl-3) | (prdx-6)	Methane metabolism
RC06983	r	RC06983	R06983	1.1.1.284	[c] : hmgth + nad <==> Sfglutth + h + nadh	C14180 + C00003 <==> C01031 + C00080 + C00004	H24K24.3	Methane metabolism
RC00527	r	RC00527	R00527	3.1.2.12	[c] : Sfglutth + h2o <==> for + gthrd + h	C01031 + C00001 <==> C00058 + C00051 + C00080	Y48G10A.1	Methane metabolism
RC05623	r	RC05623	R05623	1.14.13.8	tma + nadph + o2 <==> tmao + nadp + h2o	C00565 + C00005 + C00007 <==> C01104 + C00006 + C00001	fmo-1 | fmo-2 | fmo-3 | fmo-4 | fmo-5	Methane metabolism
RC00508	r	RC00508	R00508	3.1.3.7	[c] : h2o + paps --> aps + pi	C00001 + C00053 --> C00224 + C00009	bpnt-1 | gpap-1	Sulfur metabolism
RMC0054	r	RMC0054	RMC0054	1.8.3.1	(2) ficytC[m] + h2o[c] + so3[c] --> (2) focytC[m] + (2) h[c] + so4[c]	(2) M00125 + C00001 + C00094 --> (2) M00126 + (2) C00080 + C00059	suox-1 & (cyc-2.1 | cyc-2.2)	Sulfur metabolism
RC01560	r	RC01560	R01560	3.5.4.4	[c] : adn + h + h2o --> ins + nh4	C00212 + C00080 + C00001 --> C00294 + C00014	C06G3.5 | C44B7.12	Purine metabolism
RCC0055	r	RCC0055	R00390	6.2.1.3	[x] : atp + coa + ddca --> amp + ddcacoa + ppi	C00002 + C00010 + C02679 --> C00020 + C01832 + C00013	acs-2 | acs-3 | acs-4 | acs-5 | acs-13 | acs-15 | acs-17 | acs-18	Fatty acid metabolism
RCC0056	r	RCC0056	R00390	6.2.1.3	[c] : atp + coa + ttdca --> amp + ppi + tdcoa	C00002 + C00010 + C06424 --> C00020 + C00013 + C02593	acs-2 | acs-3 | acs-4 | acs-5 | acs-13 | acs-15 | acs-17 | acs-18	Fatty acid metabolism
RCC0058	r	RCC0058	RCC0058	2.3.1.21	[c] : crn + ddcacoa --> coa + ddcrn	C00318 + C01832 --> C00010 + CC0062	cpt-1 | cpt-3 | cpt-4 | cpt-5 | cpt-6	Carnitine shuttle
RMC0058	r	RMC0058	RMC0058	2.3.1.21	[m] : coa + ddcrn --> crn + ddcacoa	M00010 + MC0062 --> M00318 + M01832	cpt-2	Carnitine shuttle
RC01281	r	RC01281	R01281	2.3.1.50	[c] : h + fa17p0isocoa + ser-L --> 3dsphgn_ce + co2 + coa	C00080 + CC0095 + C00065 --> CC0206 + C00011 + C00010	sptl-1 | sptl-2 | sptl-3	Sphingolipid metabolism
RC06517	r	RC06517	R06517	2.3.1.24	[c] : Rtotalcoa + sphgn_ce <==> coa + dhcrm_ce + h	C00040 + CC0207 <==> C00010 + CC0204 + C00080	hyl-1 | hyl-2 | lagr-1	Sphingolipid metabolism
RC06518	r	RC06518	R06518	3.5.1.23	[c] : dhcrm_ce + h2o --> Rtotal + sphgn_ce	CC0204 + C00001 --> C00162 + CC0207	W02F12.2	Sphingolipid metabolism
RC06519	r	RC06519	R06519	1.14.-.-	[c] : dhcrm_ce + h + nadph + o2 --> crm_ce + (2) h2o + nadp	CC0204 + C00080 + C00005 + C00007 --> CC0205 + (2) C00001 + C00006	F33D4.4 | ttm-5	Sphingolipid metabolism
RCC0060	r	RCC0060	RCC0060	1.14.-.-	[c] : dhcrm_ce + h + nadh + o2 --> crm_ce + (2) h2o + nad	CC0204 + C00080 + C00004 + C00007 --> CC0205 + (2) C00001 + C00003	F33D4.4 | ttm-5	Sphingolipid metabolism
RC01496	r	RC01496	R01496	2.3.1.24	Rtotalcoa + sphings_ce <==> coa + crm_ce + h	C00040 + CC0211 <==> C00010 + CC0205 + C00080	hyl-1 | hyl-2 | lagr-1	Sphingolipid metabolism
RC01494	r	RC01494	R01494	3.5.1.23	[l] : crm_ce + h2o --> Rtotal + sphings_ce	CC0205 + C00001 --> C00162 + CC0211	W02F12.2 | (asah-2 | asah-1)	Sphingolipid metabolism
RC08969	r	RC08969	R08969	2.7.8.27	[c] : crm_ce + pchol --> dag_pl + sphmyln_ce	CC0205 + C00157 --> C00641 + CC0201	W07E6.3 | sms-1 | sms-2 | sms-3	Sphingolipid metabolism
RC02541	r	RC02541	R02541	3.1.4.12	[g] : h2o + sphmyln_ce --> cholp + crm_ce + h	C00001 + CC0201 --> C00588 + CC0205 + C00080	(asm-1 | asm-2 | asm-3) | T27F6.6 | R05D11.9	Sphingolipid metabolism
